experiment,n,n_pos,thr,precision,recall,f1,pr_auc,roc_auc,mcc,brier,tn,fp,fn,tp,train_s,infer_s
rule n_days>=5 & month_entropy>=0.0,17597,1705,0.5,0.574853228962818,0.6891495601173021,0.6268338223526274,0.42627862011666484,0.8172339796559327,0.58575180182544,0.07950218787293288,15023,869,530,1175,,
rule n_days>=5 & month_entropy>=0.5,17597,1705,0.5,0.6270096463022508,0.5718475073313783,0.598159509202454,0.40003824723293074,0.7676755784832074,0.5579506177438354,0.07444450758652044,15312,580,730,975,,
rule n_days>=5 & month_entropy>=0.7,17597,1705,0.5,0.7128252788104089,0.4498533724340176,0.5516001438331536,0.3739713961757654,0.7152048135766866,0.5313848219411265,0.07086435187816105,15583,309,938,767,,
rule n_days>=10 & month_entropy>=0.0,17597,1705,0.5,0.7072808320950966,0.5583577712609971,0.6240576860045887,0.43770713395939426,0.7667827114548127,0.5938497426834607,0.06518156503949536,15498,394,753,952,,
rule n_days>=10 & month_entropy>=0.5,17597,1705,0.5,0.708161582852432,0.5038123167155425,0.5887594242631939,0.404856904320941,0.7407684790222565,0.5622645784605393,0.06819344206398818,15538,354,846,859,,
rule n_days>=10 & month_entropy>=0.7,17597,1705,0.5,0.7260406582768635,0.4398826979472141,0.547845142439737,0.3736433378914553,0.7110374979793961,0.5311391609304859,0.07035290106268113,15609,283,955,750,,
rule n_days>=30 & month_entropy>=0.0,17597,1705,0.5,0.788782816229117,0.387683284457478,0.5198584349193865,0.36512620751499303,0.6882728025609817,0.5230256563284118,0.06938682730010798,15715,177,1044,661,,
rule n_days>=30 & month_entropy>=0.5,17597,1705,0.5,0.7864897466827503,0.3824046920821114,0.5146014206787688,0.36059711481710455,0.6856335063732983,0.5183462197265818,0.06989827811558788,15715,177,1053,652,,
rule n_days>=30 & month_entropy>=0.7,17597,1705,0.5,0.7811320754716982,0.36422287390029323,0.4968,0.34610757875513865,0.6766369843954021,0.5031518254934979,0.07148945843041428,15718,174,1084,621,,
rule n_days>=60 & month_entropy>=0.0,17597,1705,0.5,0.7946428571428571,0.3131964809384164,0.44930584770719395,0.3154247803407667,0.6522564332706177,0.4700111299096301,0.07438767971813377,15754,138,1171,534,,
rule n_days>=60 & month_entropy>=0.5,17597,1705,0.5,0.7943368107302533,0.3126099706744868,0.44865319865319864,0.3149198688572117,0.6519631781386528,0.4694414189981172,0.07444450758652044,15754,138,1172,533,,
rule n_days>=60 & month_entropy>=0.7,17597,1705,0.5,0.7933130699088146,0.306158357771261,0.44181125687685147,0.3101067949831753,0.6488002964290486,0.46401116547380233,0.07495595840200034,15756,136,1183,522,,
score:n_days,17597,1705,0.0043,0.6476365868631062,0.6187683284457478,0.6328734253149371,0.6072322248626657,0.8720655295679857,0.5946659386087408,0.08228264211434895,15318,574,650,1055,,
score:duty_cycle,17597,1705,0.0041,0.29396449704142014,0.7284457478005865,0.4188870151770658,0.21137010382756025,0.7902811167462482,0.3744806860727298,0.14076432908213937,12909,2983,463,1242,,
score:n_months,17597,1705,0.0638,0.5811688311688312,0.6299120234604105,0.6045595271601464,0.5446904256886846,0.8552671699661867,0.5607971301727663,0.06555193661996825,15118,774,631,1074,,
score:frp_sum,17597,1705,0.0029,0.46059365404298874,0.26392961876832843,0.33557046979865773,0.33938793644407084,0.6921036091860527,0.2981019321191577,0.09538710101073271,15365,527,1255,450,,
IsolationForest(all feats),17597,1705,0.3388,0.2674301111485349,0.4656891495601173,0.33975181857081727,0.25043747027315005,0.7648764423790203,0.2597302115333121,0.09470965990017531,13717,2175,911,794,2.46,0.672
