source_id,country,chip_id,status,chip_file,crs,clear_fraction,center_clear_fraction,worldcover_valid_fraction,reflectance_p01,reflectance_p99,scene_id,scene_datetime,error
Algeria_12181,Algeria,0eacac5b987cd57b502d,ok,0eacac5b987cd57b502d.npz,EPSG:32632,1.0,1.0,1.0,0.015936488285660744,0.37936753034591675,S2A_T31SGA_20230824T102802_L2A,2023-08-24T10:30:57.169000Z,
Algeria_12564,Algeria,127d4bf054845e311bd1,ok,127d4bf054845e311bd1.npz,EPSG:32632,1.0,1.0,1.0,0.113036148250103,0.6482858657836914,S2B_T32RNS_20240718T100439_L2A,2024-07-18T10:13:00.121000Z,
Algeria_12997,Algeria,1474410ee94d7b38a7e4,ok,1474410ee94d7b38a7e4.npz,EPSG:32631,0.967375,0.9568,1.0,0.010237867943942547,0.31104743480682373,S2A_T31SFA_20231006T103243_L2A,2023-10-06T10:40:50.789000Z,
Algeria_284,Algeria,173cf1e858c4199f3e38,ok,173cf1e858c4199f3e38.npz,EPSG:32632,0.9982,0.9868,1.0,0.1405695080757141,0.7199689149856567,S2B_T32RKT_20240810T101748_L2A,2024-08-10T10:22:52.807000Z,
Algeria_4509,Algeria,315dc8951952717f2967,ok,315dc8951952717f2967.npz,EPSG:32631,0.947825,1.0,1.0,0.01978391222655773,0.36194077134132385,S2B_T31SGA_20230822T103048_L2A,2023-08-22T10:40:48.533000Z,
Algeria_2790,Algeria,37c1fb5027894bdf3265,ok,37c1fb5027894bdf3265.npz,EPSG:32631,1.0,1.0,1.0,0.11804203689098358,0.6737154126167297,S2A_T31SES_20230906T103335_L2A,2023-09-06T10:41:56.741000Z,
Algeria_7303,Algeria,4b9d26c0a374270c5ee5,ok,4b9d26c0a374270c5ee5.npz,EPSG:32632,1.0,1.0,1.0,0.028190454468131065,0.42224013805389404,S2A_T32SLF_20240606T101605_L2A,2024-06-06T10:20:54.815000Z,
Algeria_13025,Algeria,84d0510ae1b6cfa8b719,ok,84d0510ae1b6cfa8b719.npz,EPSG:32630,1.0,1.0,1.0,0.06670505553483963,0.5087044835090637,S2A_T30SXD_20230704T105844_L2A,2023-07-04T11:01:35.873000Z,
Algeria_4935,Algeria,8fcda36568e6a5f974f0,ok,8fcda36568e6a5f974f0.npz,EPSG:32631,1.0,1.0,1.0,0.16502529382705688,0.7324087023735046,S2A_T32SKA_20230910T101420_L2A,2023-09-10T10:22:10.379000Z,
Algeria_255,Algeria,aff380590a84236b80a6,ok,aff380590a84236b80a6.npz,EPSG:32630,1.0,1.0,1.0,0.007695539854466915,0.42921215295791626,S2B_T31SBV_20230825T104401_L2A,2023-08-25T10:51:19.524000Z,
Algeria_348,Algeria,b15a25bca0f35cc37013,ok,b15a25bca0f35cc37013.npz,EPSG:32632,1.0,1.0,1.0,0.14148764312267303,0.7427918910980225,S2B_T32RMV_20240827T100838_L2A,2024-08-27T10:12:18.163000Z,
Algeria_2927,Algeria,b32d4e5790ccfad64ae1,ok,b32d4e5790ccfad64ae1.npz,EPSG:32631,1.0,1.0,1.0,0.04092537611722946,0.34478268027305603,S2A_T31SCA_20240715T104131_L2A,2024-07-15T10:50:59.038000Z,
Algeria_5269,Algeria,d64d5780784d41b482f7,ok,d64d5780784d41b482f7.npz,EPSG:32632,1.0,1.0,1.0,0.10612572729587555,0.7048096060752869,S2A_T32RNR_20230619T101308_L2A,2023-06-19T10:13:17.505000Z,
Algeria_10245,Algeria,ed7272bc2b12e2738fe5,ok,ed7272bc2b12e2738fe5.npz,EPSG:32632,1.0,1.0,1.0,0.02107374556362629,0.39648276567459106,S2A_T31SGA_20230824T102802_L2A,2023-08-24T10:30:57.169000Z,
Algeria_13280,Algeria,f40ecc4ac610cfc42eff,ok,f40ecc4ac610cfc42eff.npz,EPSG:32632,1.0,1.0,1.0,0.057844020426273346,0.47615766525268555,S2B_T32SKE_20231117T102936_L2A,2023-11-17T10:31:02.561000Z,
Algeria_13208,Algeria,f8bf76656d5e99883db3,ok,f8bf76656d5e99883db3.npz,EPSG:32632,1.0,1.0,1.0,0.14823251962661743,0.6463106274604797,S2A_T32RLS_20230910T101420_L2A,2023-09-10T10:23:03.958000Z,
Algeria_4844,Algeria,f8f537a37c23eaa43deb,ok,f8f537a37c23eaa43deb.npz,EPSG:32631,1.0,1.0,1.0,0.1571751981973648,0.7075518369674683,S2A_T32SKA_20230910T101420_L2A,2023-09-10T10:22:10.379000Z,
Angola_404749,Angola,01e42d0a2a8739a514b4,ok,01e42d0a2a8739a514b4.npz,EPSG:32733,0.995825,1.0,1.0,-0.008038073778152466,0.23202601075172424,S2A_T33LXH_20240801T090501_L2A,2024-08-01T09:13:46.879000Z,
Angola_623789,Angola,143b9415ee96f76e1b97,ok,143b9415ee96f76e1b97.npz,EPSG:32733,0.9986,0.9928,1.0,0.054779376834630966,0.4131335914134979,S2B_T33MTP_20240802T092157_L2A,2024-08-02T09:32:21.101000Z,
Angola_845450,Angola,164b2f370f68757d5e72,ok,164b2f370f68757d5e72.npz,EPSG:32734,1.0,1.0,1.0,0.027833567932248116,0.22936728596687317,S2B_T34LEP_20240522T085249_L2A,2024-05-22T08:53:20.759000Z,
Angola_240993,Angola,2622fa5416c9dc484ca3,ok,2622fa5416c9dc484ca3.npz,EPSG:32733,0.9927,1.0,1.0,0.042213693261146545,0.31925636529922485,S2B_T33LVH_20230914T091733_L2A,2023-09-14T09:23:49.003000Z,
Angola_515766,Angola,264666e958f7ea8e14d7,ok,264666e958f7ea8e14d7.npz,EPSG:32733,0.9998,1.0,1.0,0.02313029207289219,0.3212434649467468,S2B_T33MTN_20240802T092157_L2A,2024-08-02T09:32:35.529000Z,
Angola_607537,Angola,5254720a8d8060a03358,ok,5254720a8d8060a03358.npz,EPSG:32733,1.0,1.0,1.0,0.026378294453024864,0.24735507369041443,S2B_T33LUK_20240723T092452_L2A,2024-07-23T09:33:18.298000Z,
Angola_770424,Angola,77e2c98b069cb397e6f4,ok,77e2c98b069cb397e6f4.npz,EPSG:32733,1.0,1.0,1.0,0.0662052184343338,0.38512513041496277,S2B_T33MTP_20240802T092157_L2A,2024-08-02T09:32:21.101000Z,
Angola_938524,Angola,86d036a2bf166298c0ae,ok,86d036a2bf166298c0ae.npz,EPSG:32734,1.0,1.0,1.0,0.033472925424575806,0.3154180347919464,S2A_T34KCG_20240606T084510_L2A,2024-06-06T08:55:14.478000Z,
Angola_3171,Angola,88edc73b1cb3f7c1bd4d,ok,88edc73b1cb3f7c1bd4d.npz,EPSG:32733,0.845975,0.8336,1.0,0.02548866532742977,0.253467857837677,S2A_T33MWN_20230711T091156_L2A,2023-07-11T09:22:35.447000Z,
Angola_619866,Angola,9aacb855fd2188347480,ok,9aacb855fd2188347480.npz,EPSG:32733,0.9787,1.0,1.0,0.011034791357815266,0.3749999701976776,S2B_T32MRV_20240207T093122_L2A,2024-02-07T09:42:02.155000Z,
Angola_949154,Angola,a70d1f6ff8604ebdd88f,ok,a70d1f6ff8604ebdd88f.npz,EPSG:32733,1.0,1.0,1.0,0.06580633670091629,0.41071274876594543,S2B_T33LVE_20230914T091733_L2A,2023-09-14T09:24:32.505000Z,
