source_id,block_id,lat,lon,is_eog_flare,eog_flare_id,country,chip_id
Algeria_12181,Algeria_b99997100056,36.629580000000004,6.029965000000001,0,,Algeria,0eacac5b987cd57b502d
Algeria_12564,Algeria_b100029099962,28.176944090909092,9.40486,1,s_7873,Algeria,127d4bf054845e311bd1
Algeria_12997,Algeria_b99983100059,36.86621,4.49171,0,,Algeria,1474410ee94d7b38a7e4
Algeria_284,Algeria_b100004099979,29.668881825396824,6.7244762698412694,1,s_7830,Algeria,173cf1e858c4199f3e38
Algeria_4509,Algeria_b99991100055,36.5387,5.3225,0,,Algeria,315dc8951952717f2967
Algeria_2790,Algeria_b99972100017,33.066997931034486,3.3330055172413795,1,m_301,Algeria,37c1fb5027894bdf3265
Algeria_7303,Algeria_b100013100059,36.86241333333333,7.672363333333333,0,,Algeria,4b9d26c0a374270c5ee5
Algeria_13025,Algeria_b99928100038,34.9432,-1.29612,0,,Algeria,84d0510ae1b6cfa8b719
Algeria_4935,Algeria_b99996100004,31.8926,5.9098,1,s_20138,Algeria,8fcda36568e6a5f974f0
Algeria_255,Algeria_b99938100047,35.80291051948052,-0.21593961038961038,1,s_19895a,Algeria,aff380590a84236b80a6
Algeria_348,Algeria_b100017099994,31.016426666666668,8.149877142857143,0,,Algeria,b15a25bca0f35cc37013
Algeria_2927,Algeria_b99958100055,36.4835,1.8617825,0,,Algeria,b32d4e5790ccfad64ae1
Algeria_5269,Algeria_b100031099955,27.526918278688523,9.623741557377048,1,s_7817,Algeria,d64d5780784d41b482f7
Algeria_10245,Algeria_b99998100056,36.56876,6.0623,0,,Algeria,ed7272bc2b12e2738fe5
Algeria_13280,Algeria_b100002100047,35.82409,6.52911,0,,Algeria,f40ecc4ac610cfc42eff
Algeria_13208,Algeria_b100011099966,28.4859,7.5097,1,s_7846,Algeria,f8bf76656d5e99883db3
Algeria_4844,Algeria_b99997100003,31.828766666666667,5.9726,1,s_20158,Algeria,f8f537a37c23eaa43deb
Angola_404749,Angola_b99985100007,-11.081511666666666,16.745791666666666,0,,Angola,01e42d0a2a8739a514b4
Angola_623789,Angola_b99939100060,-6.318169999999999,12.536566666666667,1,s_2035,Angola,143b9415ee96f76e1b97
Angola_845450,Angola_b100039100015,-10.360054,21.743078,0,,Angola,164b2f370f68757d5e72
Angola_240993,Angola_b99962100000,-11.719314,14.641738,0,,Angola,2622fa5416c9dc484ca3
Angola_515766,Angola_b99938100058,-6.4919433333333325,12.483773333333332,1,s_2078,Angola,264666e958f7ea8e14d7
Angola_607537,Angola_b99954100028,-9.2146,13.9261,0,,Angola,5254720a8d8060a03358
Angola_770424,Angola_b99938100061,-6.2339199999999995,12.445487142857143,1,s_2003,Angola,77e2c98b069cb397e6f4
Angola_938524,Angola_b100021099941,-17.0174,20.05742,0,,Angola,86d036a2bf166298c0ae
Angola_3171,Angola_b99972100056,-6.68269,15.587445,0,,Angola,88edc73b1cb3f7c1bd4d
Angola_619866,Angola_b99935100070,-5.39151,12.209409333333333,1,s_2106,Angola,9aacb855fd2188347480
Angola_949154,Angola_b99959099976,-13.83844,14.38532,0,,Angola,a70d1f6ff8604ebdd88f
Angola_251,Angola_b99937100062,-6.122737802197802,12.344791538461537,1,s_1997,Angola,bdb86214c896ec143419
Angola_814403,Angola_b100001100004,-11.3389475,18.204864999999998,0,,Angola,c62ba6626ad604315fdb
Angola_887950,Angola_b99936100068,-5.59976,12.26394,1,s_2071,Angola,e3cb5ec7d70614f0fd87
Angola_488655,Angola_b99952100040,-8.075365999999999,13.769304,0,,Angola,e6c7b363ed7b81207934
Angola_500129,Angola_b100024100051,-7.1012,20.3688,0,,Angola,f11704842804f0067d06
Angola_463802,Angola_b99937100061,-6.213153260869565,12.394439239130437,1,s_2177,Angola,fb8a012d0628163f8368
Indonesia_165728,Indonesia_b99966099961,-7.171175,112.66642999999999,1,s_2579,Indonesia,2aa00733149c90372955
Indonesia_155965,Indonesia_b100075100049,0.778655,122.539905,0,,Indonesia,31c23a8ad7105e811261
Indonesia_132026,Indonesia_b99957100002,-3.432120769230769,111.8590576923077,0,,Indonesia,392e976fde67bad88e93
Indonesia_110447,Indonesia_b100129099956,-7.607085,127.37672,0,,Indonesia,5e067b9bd074fedd625a
Indonesia_58467,Indonesia_b99863100028,-1.16841,103.43168,1,s_2338,Indonesia,71680abb1b550afc408c
Indonesia_28997,Indonesia_b99991100013,-2.4662866666666665,114.89807,0,,Indonesia,733c647ceb7c0a448d44
Indonesia_81805,Indonesia_b99862100002,-3.44427,103.26322,1,s_2417,Indonesia,749465aa80db894c95d1
Indonesia_135227,Indonesia_b99871099993,-4.30039,104.10135,0,,Indonesia,8161a948381afe6accec
Indonesia_45522,Indonesia_b100015100057,1.4684,117.0835,0,,Indonesia,87e194dde4ea31688d49
Indonesia_63239,Indonesia_b99793100099,5.2275208,97.090052,1,s_4504,Indonesia,9a9f734cee488f573394
Indonesia_68656,Indonesia_b100024100079,3.4757493333333334,117.86428266666667,1,s_4763,Indonesia,9e7b11b488390fcbfb52
Indonesia_59042,Indonesia_b99916099973,-6.095594615384615,108.14001384615383,1,s_2603,Indonesia,bba993fd9332836e2ea6
Indonesia_160802,Indonesia_b99962099957,-7.48122,112.33834,0,,Indonesia,bf173b205d917ded8385
Indonesia_155591,Indonesia_b99838100051,0.9246,101.15438,1,s_4521,Indonesia,bf94a8d7a56facda1ea1
Indonesia_60731,Indonesia_b100013100025,-1.43277,116.91131,1,s_2554,Indonesia,c9f0fff8de3c51f3130b
Indonesia_143058,Indonesia_b100254099950,-8.11997,138.59361,0,,Indonesia,e74894827a9dadc7a8e2
Indonesia_95098,Indonesia_b99931100046,0.49763,109.54496,0,,Indonesia,f119255da3a0b9cc7587
Iraq_21885,Iraq_b100003099982,30.90702,46.49745,0,,Iraq,0d898d4e8973402d2b98
Iraq_141,Iraq_b100012099991,31.652481431372546,47.51183134640523,1,s_21833,Iraq,0f06a4a0b4c2627dc8d0
Iraq_29159,Iraq_b99982100004,32.84278,44.29789,1,m_337,Iraq,1328c83a710f27b919e3
Iraq_35588,Iraq_b99967100051,37.099875,42.7469,0,,Iraq,1a5b8abbf10e6d1829f5
Iraq_20074,Iraq_b99978100011,33.51346,43.89408,1,s_20989,Iraq,1c2292696a8b0ca6054f
Iraq_6436,Iraq_b99974100037,35.7847,43.47345,0,,Iraq,3d4c7c8f3cc879691645
Iraq_1179,Iraq_b99983099996,32.10207,44.45673,0,,Iraq,6d3ed751217a158605b7
Iraq_35473,Iraq_b99981100039,35.9552,44.2078,0,,Iraq,6d57fcbf373fc8fd747a
Iraq_22771,Iraq_b99977100045,36.52605,43.79711,0,,Iraq,7a2269567e281044c412
Iraq_12327,Iraq_b99979100036,35.68547,44.01405333333333,1,s_21396,Iraq,8f7425737a6bba3522d2
Iraq_311,Iraq_b100011099975,30.21662350096712,47.39065036750484,1,s_21697,Iraq,941dbc151ddd3f1ab042
Iraq_13763,Iraq_b99972100047,36.73168769230769,43.28588076923077,1,s_20950,Iraq,9d7491a73d9e1776a2f5
Iraq_24559,Iraq_b99998100037,35.83051916666667,45.99635416666666,0,,Iraq,b03761a256d01e3b8e9e
Iraq_7412,Iraq_b99982100044,36.4632,44.3608,0,,Iraq,c0f8769b8c1c6f30a2ef
Iraq_397,Iraq_b99966100051,37.075900454545454,42.561313863636364,1,s_21230,Iraq,c0ffb5131e7b8949542d
Iraq_70,Iraq_b99977100039,35.97545944712829,43.770798132045094,1,s_20881,Iraq,d38b5d31a5a18d2579d6
Iraq_32986,Iraq_b99973100031,35.29722,43.37128,0,,Iraq,d5b8526b868363c59117
Libya_839,Libya_b99941100008,29.501042222222225,12.971689111111111,1,s_7844,Libya,2ecad96238e9f4256c14
Libya_2075,Libya_b100037100043,32.63375,22.85473,0,,Libya,36897572e3f03b92b974
Libya_2351,Libya_b100013100039,32.29797666666666,20.37169,0,,Libya,4b372bc78af054ae2af5
