source_id,country,chip_id,status,chip_file,crs,clear_fraction,center_clear_fraction,worldcover_valid_fraction,scene_id,scene_datetime,requested_lon,requested_lat,reused_from,reflectance_p01,reflectance_p99,error
Algeria_5371,Algeria,13a9ea53943a3b751605,ok,13a9ea53943a3b751605.npz,EPSG:32632,1.0,1.0,1.0,S2B_T32RNS_20240718T100439_L2A,2024-07-18T10:13:00.121000Z,9.124045789473683,28.52928236842105,/kaggle/input/notebooks/aaryanadutta/sih-nb6-img/nb6_context_v1,,,
Angola_87870,Angola,c9f36e11bcfc5de83e22,ok,c9f36e11bcfc5de83e22.npz,EPSG:32734,1.0,1.0,1.0,S2B_T34MBS_20240518T091209_L2A,2024-05-18T09:12:36.155000Z,18.49977625,-8.014165,/kaggle/input/notebooks/aaryanadutta/sih-nb6-img/nb6_context_v1,,,
Indonesia_71755,Indonesia,ddb0be43acfa9a9fbe9e,ok,ddb0be43acfa9a9fbe9e.npz,EPSG:32750,0.9983,0.9952,1.0,S2A_T50LRQ_20241027T021911_L2A,2024-10-27T02:20:21.314000Z,119.9577,-9.80007,/kaggle/input/notebooks/aaryanadutta/sih-nb6-img/nb6_context_v1,,,
Iraq_24559,Iraq,b03761a256d01e3b8e9e,ok,b03761a256d01e3b8e9e.npz,EPSG:32638,0.9771,1.0,1.0,S2B_T38SNE_20241004T074804_L2A,2024-10-04T07:50:00.436000Z,,,/kaggle/input/notebooks/aaryanadutta/sih-nb6-img/nb6_context_v1,0.040600478649139404,0.3400997221469879,
Libya_2393,Libya,fbd5f28c7bbc7c15f3f0,ok,fbd5f28c7bbc7c15f3f0.npz,EPSG:32633,1.0,1.0,1.0,S2A_T33STR_20230716T100114_L2A,2023-07-16T10:01:58.681000Z,12.70424,32.36307,/kaggle/input/notebooks/aaryanadutta/sih-nb6-img/nb6_context_v1,,,
Nigeria_60999,Nigeria,b3175aba26fc88b1f10c,ok,b3175aba26fc88b1f10c.npz,EPSG:32632,0.978,0.9584,1.0,S2A_T32NKL_20221228T100646_L2A,2022-12-28T10:09:26.535000Z,6.784736,4.959601999999999,/kaggle/input/notebooks/aaryanadutta/sih-nb6-img/nb6_context_v1,,,
Algeria_13320,Algeria,5ecba9426d7474174e3b,ok,5ecba9426d7474174e3b.npz,EPSG:32631,1.0,1.0,1.0,S2A_T31SCA_20240715T104131_L2A,2024-07-15T10:50:59.038000Z,1.84775,36.21921,/kaggle/input/notebooks/aaryanadutta/sih-nb6-img/nb6_context_v1,,,
Angola_500129,Angola,f11704842804f0067d06,ok,f11704842804f0067d06.npz,EPSG:32734,1.0,1.0,1.0,S2B_T34MDT_20230511T090219_L2A,2023-05-11T09:02:27.604000Z,,,/kaggle/input/notebooks/aaryanadutta/sih-nb6-img/nb6_context_v1,0.02329353615641594,0.22845953702926636,
Indonesia_180852,Indonesia,092df0a3557c768b1f87,ok,092df0a3557c768b1f87.npz,EPSG:32751,0.9994,0.9904,1.0,S2A_T51MTU_20230926T022328_L2A,2023-09-26T02:28:05.541000Z,120.69787,-1.45846,/kaggle/input/notebooks/aaryanadutta/sih-nb6-img/nb6_context_v1,,,
Iraq_3879,Iraq,58b18862e341c22c6d36,ok,58b18862e341c22c6d36.npz,EPSG:32638,1.0,1.0,1.0,S2B_T38RQU_20231027T073145_L2A,2023-10-27T07:41:25.367000Z,47.444536,30.109735333333337,/kaggle/input/notebooks/aaryanadutta/sih-nb6-img/nb6_context_v1,,,
