source_id,country,status,full_clear_fraction,full_worldcover_fraction,full_negative_fraction,full_below_minus005_fraction,full_ndvi_valid_fraction,full_ndbi_valid_fraction,full_mndwi_valid_fraction,center_clear_fraction,center_worldcover_fraction,center_negative_fraction,center_below_minus005_fraction,center_ndvi_valid_fraction,center_ndbi_valid_fraction,center_mndwi_valid_fraction,review_reflectance_tail
Algeria_5371,Algeria,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Angola_87870,Angola,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Indonesia_71755,Indonesia,ok,0.9983,1.0,0.0,0.0,1.0,1.0,1.0,0.9952,1.0,0.0,0.0,1.0,1.0,1.0,False
Iraq_24559,Iraq,ok,0.9771,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Libya_2393,Libya,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Nigeria_60999,Nigeria,ok,0.978,1.0,0.0,0.0,1.0,1.0,1.0,0.9584,1.0,0.0,0.0,1.0,1.0,1.0,False
Algeria_13320,Algeria,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Angola_500129,Angola,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Indonesia_180852,Indonesia,ok,0.9994,1.0,0.0,0.0,1.0,1.0,1.0,0.9904,1.0,0.0,0.0,1.0,1.0,1.0,False
Iraq_3879,Iraq,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Libya_2174,Libya,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Nigeria_52663,Nigeria,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Algeria_2141,Algeria,ok,0.95705,1.0,0.0033784372115702767,0.0,0.985319471291991,1.0,0.9975706598401337,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Angola_670818,Angola,ok,0.93785,1.0,0.0005553482255513497,0.00010218407350144835,0.9978408060990563,1.0,1.0,0.9152,1.0,0.0,0.0,1.0,1.0,1.0,False
Indonesia_63195,Indonesia,ok,0.9022,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Iraq_4973,Iraq,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Libya_380,Libya,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Nigeria_221559,Nigeria,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Algeria_7303,Algeria,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Angola_343677,Angola,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Indonesia_95098,Indonesia,ok,0.9974,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Iraq_29660,Iraq,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
Libya_1686,Libya,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
