feature,mean_gain
active_days_per_year,122091.27932095528
active_months_per_year,53968.47875662645
night_frac,42556.38699736197
lst_mean,12824.82584275802
spread_m,12685.201198756695
span_window_frac,5969.767589330672
duty_cycle,5861.64075299104
pix_km2_mean,5489.128834366798
t_lwir_max,5051.933140337467
t_lwir_med,4405.593168417613
max_gap_days,3726.703904430072
frp_dens_med,3703.999859372775
t_mir_med,3509.2983328501386
det_per_day,3153.516755104065
lst_std,3072.8971422910695
t_lwir_std,2998.820174217224
dt_mir_lwir_max,2701.0012520353002
frp_cv,2682.026081800461
t_lwir_mean,2566.848098655542
frp_dens_mean,2393.5429713726044
conf_modis_mean,2176.188307007154
mean_gap_days,2100.7286468346915
dt_mir_lwir_mean,2063.411218126615
dt_mir_lwir_med,2048.0962370038033
det_per_year,2005.6826374133427
t_mir_std,1726.0739077727003
dt_mir_lwir_std,1645.399137929082
frp_med,1619.8292930126188
t_mir_max,1602.229287346204
frp_sum_per_year,1505.8866769870122
frp_dens_max,1462.8458763758342
t_mir_mean,1458.5291239817936
frp_std,1346.9158257246017
frp_max,1320.2242155075073
frp_dens_std,1195.989799618721
frp_mean,1131.9457924763362
snpp_modis_ratio,1002.2077213525772
frp_p90,990.0636929273605
snpp_per_year,675.8083592255911
conf_viirs_l_frac,648.0612540245056
conf_viirs_n_frac,613.8153959910076
conf_viirs_h_frac,362.56263764699304
modis_per_year,315.5683785676956
sat_frac,140.0281170209249
n_sensors,13.192430098851522
