experiment,n,n_pos,thr,precision,recall,f1,pr_auc,roc_auc,mcc,brier,tn,fp,fn,tp,train_s,infer_s,schema,persistent_train,n_features,threshold_exact,macro_country_f1,macro_country_pr_auc,worst_country_pr_auc,mean_training_rows,elapsed_s,held_out_country,selected
regularized_raw,1623992,2467,0.2791,0.6309226932668329,0.5127685447912445,0.565742397137746,0.5349833700440572,0.9683662903540531,0.5681986675150354,0.0009289848588154759,1620785,740,1202,1265,,,raw,False,45,0.279120969966847,0.5032088995944638,0.4675397267271923,0.19094972964912454,1082661.3333333333,189.7746856212616,Algeria,True
ranked_physics,1623992,2467,0.2319,0.6214845550945136,0.5464126469396028,0.5815358067299397,0.5585306989198455,0.9787179697243746,0.5821474889314997,0.0009018183987829986,1620704,821,1119,1348,,,ranked,False,43,0.2319223637554184,0.5098756713401942,0.46561784056577,0.21277107427296083,1082661.3333333333,186.7371277809143,Algeria,False
ranked_compact,1623992,2467,0.2285,0.6221408966148216,0.5512768544791244,0.5845690952073931,0.5562492924554109,0.9785265788077622,0.5850461701014468,0.0008998226000879522,1620699,826,1107,1360,,,compact,False,39,0.228511882048651,0.521277825308272,0.4640811201345561,0.2141467784655224,1082661.3333333333,178.32316184043884,Algeria,False
ranked_compact_persistent,1623992,2467,0.2221,0.6398485565546617,0.5480340494527767,0.5903930131004367,0.5492311974690459,0.9712542683103684,0.5915928250819469,0.0008996704370296842,1620764,761,1115,1352,,,compact,True,39,0.2221370753774745,0.5125282317768527,0.46190416821716723,0.20017623828523526,753924.6666666666,134.92366695404053,Algeria,False
ranked_physics,663902,3474,0.32,0.6942087790483217,0.5417386298215314,0.6085691188358933,0.6044493869125085,0.9674687356405596,0.6114793099517587,0.002913887813009818,659599,829,1592,1882,,,ranked,False,43,0.32003041889576367,0.571248142840346,0.5656551487578333,0.2076009830441119,442601.3333333333,82.94933938980103,Angola,True
ranked_compact,663902,3474,0.2201,0.6154079466181377,0.5840529648819804,0.5993206321075174,0.6025596805623583,0.9675439213092214,0.5974746200757475,0.0029253284209090524,659160,1268,1445,2029,,,compact,False,39,0.2200528253554446,0.5698553092982674,0.5644413803276517,0.20443248250692972,442601.3333333333,75.99976706504822,Angola,False
ranked_compact_persistent,663902,3474,0.2417,0.6459546925566343,0.5745538284398388,0.6081657525898843,0.5934365635895066,0.9580790604975313,0.6072761730302891,0.002933627155424124,659334,1094,1478,1996,,,compact,True,39,0.24165900486000114,0.5764212777674252,0.5629425980793521,0.20132565460316876,242528.66666666666,49.45832896232605,Angola,False
regularized_raw,663902,3474,0.2821,0.6430228704010607,0.558434081750144,0.5977507317824681,0.5803040539079813,0.9554239590931313,0.5972812209376047,0.003010572296383513,659351,1077,1534,1940,,,raw,False,45,0.28208609273835294,0.5695286708442868,0.558754563278479,0.17017362724002594,442601.3333333333,82.11888718605042,Angola,False
ranked_physics,1450597,3130,0.4332,0.7638078132016165,0.5434504792332269,0.6350569348515961,0.6217582376102443,0.9884283472692236,0.6436445722272304,0.0011467978661209122,1446941,526,1429,1701,,,ranked,False,43,0.4331993535993533,0.551535901523964,0.5414064747418054,0.18250762668876316,967064.6666666666,164.04546284675598,Indonesia,True
regularized_raw,1450597,3130,0.3225,0.7215592680986476,0.579552715654952,0.6428065201984409,0.6099986022398356,0.977393089756436,0.6459925958705043,0.0011397680481580429,1446767,700,1316,1814,,,raw,False,45,0.3225139493875721,0.5811564844430795,0.5408198114255256,0.13719290325423764,967064.6666666666,168.73850965499878,Indonesia,False
ranked_compact,1450597,3130,0.3197,0.705607476635514,0.5789137380191693,0.636012636012636,0.6190604222195268,0.9879899443198528,0.6384284419189381,0.0011454367286616053,1446711,756,1318,1812,,,compact,False,39,0.3196500897835578,0.5407426052814605,0.5301214592253289,0.13124720246669533,967064.6666666666,158.20175623893738,Indonesia,False
ranked_compact_persistent,1450597,3130,0.2087,0.6525741561541084,0.6115015974440895,0.6313706086095993,0.6064754213469123,0.9759549063621378,0.6309339745431306,0.0011529810735354939,1446448,1019,1216,1914,,,compact,True,39,0.20869976625420292,0.5420821448490621,0.5298172915929077,0.11879663335267121,709883.3333333334,124.1199369430542,Indonesia,False
ranked_compact,1603557,2765,0.238,0.6252605252188412,0.5424954792043399,0.5809450038729667,0.566947496212771,0.9819443236357497,0.581740240328766,0.0010114387379496358,1599893,899,1265,1500,,,compact,False,39,0.2380396145334004,0.5174839659017936,0.4668364369500786,0.22362255710533815,1069038.0,174.5537347793579,Iraq,True
ranked_compact_persistent,1603557,2765,0.1822,0.5886792452830188,0.5641952983725136,0.5761772853185596,0.5542693385860938,0.9685198534681934,0.5755910586430866,0.0010189067355427359,1599702,1090,1205,1560,,,compact,True,39,0.18220906714929064,0.5076224130840901,0.4662897527115092,0.2226108055814085,750006.6666666666,130.57554936408997,Iraq,False
regularized_raw,1603557,2765,0.2812,0.6405677655677655,0.5059674502712478,0.5653667407557083,0.5373481198494233,0.9709035180388601,0.5686485161869552,0.0010563190050017232,1600007,785,1366,1399,,,raw,False,45,0.28116910505919257,0.4990041205109895,0.46013429927585997,0.18947744635234062,1069038.0,185.41293501853943,Iraq,False
ranked_physics,1603557,2765,0.2246,0.6156655844155844,0.5486437613019891,0.5802256645630139,0.5673700526889269,0.981985751365913,0.5805081190484416,0.0010127249342874777,1599845,947,1248,1517,,,ranked,False,43,0.2245830850376205,0.5014622566540088,0.4544766892901054,0.177454668151542,1069038.0,181.03509879112244,Iraq,False
ranked_physics,1631459,2960,0.2068,0.5996330275229358,0.552027027027027,0.5748460861917326,0.5557415862051615,0.9817300394412277,0.574598157116976,0.0010738587705642667,1627408,1091,1326,1634,,,ranked,False,43,0.2068131045148909,0.5085785157262521,0.45229517252295726,0.22443380654423503,1087639.3333333333,185.7806944847107,Libya,True
regularized_raw,1631459,2960,0.2837,0.6449605972625466,0.5253378378378378,0.5790355613479798,0.5394277488027565,0.9685266801315613,0.5814039534426441,0.0010988754875932033,1627643,856,1405,1555,,,raw,False,45,0.28373250245512627,0.5076147301823112,0.45199287404014754,0.1782722339957168,1087639.3333333333,189.17743134498596,Libya,False
ranked_compact,1631459,2960,0.2536,0.6403721682847896,0.5347972972972973,0.5828424153166422,0.5503326580993698,0.9812517967548727,0.5845238373062811,0.0010754564192349955,1627610,889,1377,1583,,,compact,False,39,0.25360159778153923,0.5063999079384546,0.44385439329675347,0.21298166644169417,1087639.3333333333,177.89935994148254,Libya,False
ranked_compact_persistent,1631459,2960,0.2593,0.6481327800829876,0.5277027027027027,0.5817504655493483,0.5417599819133835,0.9697447479948498,0.5841502455994466,0.0010838876794999949,1627651,848,1398,1562,,,compact,True,39,0.2592663452744071,0.5048371002689939,0.4431641340890238,0.2146407290207073,755394.6666666666,133.31564354896545,Libya,False
regularized_raw,1197268,2734,0.2681,0.6627049180327869,0.591441111923921,0.6250483185156552,0.6278321240834182,0.9856261054888974,0.6252536098697389,0.0012232485330181972,1193711,823,1117,1617,,,raw,False,45,0.2680739001413361,0.5252248418999883,0.5062451629491842,0.14487675101828737,798178.6666666666,135.9220428466797,Nigeria,True
ranked_physics,1197268,2734,0.1815,0.5698051948051948,0.6419166057059253,0.6037151702786377,0.6330430825285422,0.9909239531996064,0.6038294803319297,0.001232410907755807,1193209,1325,979,1755,,,ranked,False,43,0.1815300457661396,0.5222124569988448,0.5061972036668996,0.19604096281278824,798178.6666666666,135.2940649986267,Nigeria,False
ranked_compact,1197268,2734,0.2521,0.6335139318885449,0.5987564008778347,0.6156449793155322,0.6277658972128718,0.9904168138700359,0.6150359462714275,0.001243259807191698,1193587,947,1097,1637,,,compact,False,39,0.2520580117415515,0.5027040876643631,0.49353057530358946,0.17881805966816286,798178.6666666666,128.6790325641632,Nigeria,False
ranked_compact_persistent,1197268,2734,0.1726,0.5858823529411765,0.6375274323335772,0.6106148187073043,0.6145842480760398,0.9769176090386027,0.6102324658453033,0.0012426596891181923,1193302,1232,991,1743,,,compact,True,39,0.1725583374846148,0.518624558461835,0.49266473015047757,0.15802366089449232,568815.3333333334,96.97105598449707,Nigeria,False
