country,branch,n,n_positive,threshold,precision,recall,f1,pr_auc,roc_auc,tn,fp,fn,tp
Algeria,thermal_only,48,15,0.4105272477625624,0.6428571428571429,0.6,0.6206896551724138,0.7529288238269896,0.7838383838383838,28,5,6,9
Algeria,image_only,48,15,0.3532000549678891,0.7222222222222222,0.8666666666666667,0.7878787878787878,0.8198526273526274,0.8808080808080808,28,5,2,13
Algeria,early_fusion,48,15,0.38831101298214976,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8286327512643302,0.896969696969697,28,5,5,10
Algeria,late_fusion,48,15,0.4298051018313327,0.8181818181818182,0.6,0.6923076923076923,0.8305204497595802,0.896969696969697,31,2,6,9
Angola,thermal_only,50,6,0.5053703592866043,0.75,0.5,0.6,0.7923809523809523,0.9166666666666665,43,1,3,3
Angola,image_only,50,6,0.36656177549882746,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.7041666666666666,0.928030303030303,41,3,2,4
Angola,early_fusion,50,6,0.36500566036203064,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9583333333333333,0.9924242424242424,43,1,1,5
Angola,late_fusion,50,6,0.4429222043211175,1.0,0.6666666666666666,0.8,0.8425925925925926,0.9621212121212122,44,0,2,4
Indonesia,thermal_only,48,17,0.5317444268508689,1.0,0.47058823529411764,0.64,0.8475083226836094,0.8462998102466792,31,0,9,8
Indonesia,image_only,48,17,0.1625806334767314,0.3902439024390244,0.9411764705882353,0.5517241379310345,0.646683493104613,0.8102466793168881,6,25,1,16
Indonesia,early_fusion,48,17,0.4291004456760507,1.0,0.7647058823529411,0.8666666666666667,0.9559171186204978,0.9392789373814042,31,0,4,13
Indonesia,late_fusion,48,17,0.2969581495778606,0.7619047619047619,0.9411764705882353,0.8421052631578947,0.9266456582633054,0.9203036053130931,26,5,1,16
Iraq,thermal_only,48,18,0.51151823990424,0.875,0.7777777777777778,0.8235294117647058,0.8326583016649816,0.8037037037037038,28,2,4,14
Iraq,image_only,48,18,0.32673447291605745,0.8571428571428571,0.6666666666666666,0.75,0.8427668481091175,0.8148148148148148,28,2,6,12
Iraq,early_fusion,48,18,0.4096356724412543,1.0,0.7777777777777778,0.875,0.8777192517502594,0.8481481481481482,30,0,4,14
Iraq,late_fusion,48,18,0.4248153498004843,0.875,0.7777777777777778,0.8235294117647058,0.8803765001935734,0.8462962962962963,28,2,4,14
Libya,thermal_only,51,15,0.3951370827860622,0.7222222222222222,0.8666666666666667,0.7878787878787878,0.893413397747763,0.9203703703703704,31,5,2,13
Libya,image_only,51,15,0.4447976630032428,0.47619047619047616,0.6666666666666666,0.5555555555555556,0.5618065057257297,0.7888888888888889,25,11,5,10
Libya,early_fusion,51,15,0.4533247252910229,0.7222222222222222,0.8666666666666667,0.7878787878787878,0.9055265478511092,0.924074074074074,31,5,2,13
Libya,late_fusion,51,15,0.48370149405172497,0.8125,0.8666666666666667,0.8387096774193549,0.8941378066378066,0.9222222222222222,33,3,2,13
Nigeria,thermal_only,49,16,0.4980019665051324,0.75,0.375,0.5,0.7639363928695826,0.8238636363636364,31,2,10,6
Nigeria,image_only,49,16,0.1599171468900183,0.9166666666666666,0.6875,0.7857142857142857,0.8783122816510974,0.9393939393939394,32,1,5,11
Nigeria,early_fusion,49,16,0.360133726990286,1.0,0.5625,0.72,0.908974358974359,0.9204545454545454,33,0,7,9
Nigeria,late_fusion,49,16,0.3433624377009219,1.0,0.5,0.6666666666666666,0.8520089285714285,0.8977272727272727,33,0,8,8
