branch,feature,mean_gain
early_fusion,active_days_per_year,798.1765910132477
early_fusion,night_frac,513.2774605179826
early_fusion,img_nearest_builtup_in_chip_m,292.320160775329
early_fusion,img_center_wc_20_fraction,264.28619754066074
early_fusion,img_center_wc_40_fraction,215.92141608645517
early_fusion,img_full_ndvi_median,145.85259923820072
early_fusion,t_lwir_mean_country_pct,92.4625953863142
early_fusion,img_center_ndvi_p90,87.74555804844324
early_fusion,t_lwir_med_country_pct,82.42215358722024
early_fusion,duty_cycle,75.557293561132
early_fusion,det_per_year,64.48986616078764
early_fusion,img_center_mndwi_p10,59.44888265236901
early_fusion,lst_mean,44.19214443885721
early_fusion,img_center_wc_60_fraction,40.64065396040678
early_fusion,active_months_per_year,37.64616112907728
early_fusion,snpp_modis_ratio,35.286462138717376
early_fusion,t_mir_mean_country_pct,33.99468532204628
early_fusion,t_lwir_max_country_pct,29.588569516936943
early_fusion,frp_med_country_pct,27.830966350001596
early_fusion,t_mir_med_country_pct,24.27912898485859
early_fusion,img_full_ndbi_median,23.252041878256325
early_fusion,img_center_wc_50_fraction,22.50545493389169
early_fusion,img_center_swir16_median,19.300475092604756
early_fusion,frp_mean_country_pct,18.572146934845176
early_fusion,img_center_mndwi_p90,18.3066202159971
early_fusion,img_center_ndbi_p10,18.0444094662865
early_fusion,frp_dens_med_country_pct,17.80431068626543
early_fusion,mean_gap_days,17.734599714477856
early_fusion,dt_mir_lwir_mean_country_pct,15.071032275756203
early_fusion,img_center_wc_10_fraction,14.518007804329194
early_fusion,img_center_ndvi_median,12.599552201728025
early_fusion,dt_mir_lwir_max_country_pct,11.125679801528651
early_fusion,img_center_mndwi_median,10.77321806074724
early_fusion,img_center_swir22_median,10.20095393806696
early_fusion,img_full_mndwi_median,9.727572915920367
early_fusion,det_per_day,9.671189411232868
early_fusion,snpp_per_year,9.398883268237114
early_fusion,img_center_ndbi_p90,8.34735993295908
early_fusion,t_lwir_std_country_pct,7.88809068252643
early_fusion,span_window_frac,6.796361711497108
early_fusion,frp_sum_per_year_country_pct,6.745778743798534
early_fusion,img_center_wc_30_fraction,6.670202806300949
early_fusion,max_gap_days,6.669990183009456
early_fusion,img_center_nir_median,6.537810191512108
early_fusion,frp_dens_mean_country_pct,5.972059062992533
early_fusion,dt_mir_lwir_med_country_pct,5.4619178635378685
early_fusion,img_center_ndvi_p10,5.117161388198534
early_fusion,img_center_blue_median,4.511461691310008
early_fusion,dt_mir_lwir_std_country_pct,4.244614733926331
early_fusion,img_center_ndbi_median,3.908965982651959
early_fusion,img_center_red_median,3.688229240477085
early_fusion,frp_dens_max_country_pct,3.269160655637582
early_fusion,t_mir_max_country_pct,2.7491363822015655
early_fusion,frp_std_country_pct,2.649172248939673
early_fusion,img_center_green_median,2.5691917315125465
early_fusion,frp_dens_std_country_pct,2.238221329947313
early_fusion,lst_std,1.9478270138303437
early_fusion,frp_p90_country_pct,1.4811666284998257
early_fusion,t_mir_std_country_pct,1.3757670640479773
early_fusion,frp_max_country_pct,1.158235857884089
early_fusion,frp_cv,0.32563723189135396
early_fusion,modis_per_year,0.0
early_fusion,n_sensors,0.0
early_fusion,sat_frac,0.0
early_fusion,img_center_wc_70_fraction,0.0
early_fusion,img_center_wc_80_fraction,0.0
early_fusion,img_center_wc_90_fraction,0.0
early_fusion,img_center_wc_95_fraction,0.0
early_fusion,img_center_wc_100_fraction,0.0
