held_out_country,branch,inner_macro_ap,inner_macro_f1,threshold,thermal_weight
Algeria,thermal_only,0.8319579248151218,0.715613553113553,0.4105272477625624,
Algeria,image_only,0.6951533909597434,0.6496293180503707,0.3532000549678891,
Algeria,early_fusion,0.918459723024249,0.8260721247563353,0.38831101298214976,
Algeria,late_fusion,0.8995382449247431,0.7748459383753501,0.4298051018313327,0.625
Angola,thermal_only,0.8000470227183916,0.7058378658378658,0.5053703592866043,
Angola,image_only,0.7099735917272237,0.6255738069979556,0.36656177549882746,
Angola,early_fusion,0.8575122288698814,0.7686685823754789,0.36500566036203064,
Angola,late_fusion,0.8617841959109646,0.7717234169653524,0.4429222043211175,0.5
Indonesia,thermal_only,0.7987769908721127,0.7165569825058146,0.5317444268508689,
Indonesia,image_only,0.6663610509636685,0.5765380572394517,0.1625806334767314,
Indonesia,early_fusion,0.8508429270657532,0.7064285714285713,0.4291004456760507,
Indonesia,late_fusion,0.858645098879455,0.6917239623121976,0.2969581495778606,0.5
Iraq,thermal_only,0.7927623083606725,0.6909902740937224,0.51151823990424,
Iraq,image_only,0.6666092806289174,0.6089608324902442,0.32673447291605745,
Iraq,early_fusion,0.8731092007706746,0.7738875855327468,0.4096356724412543,
Iraq,late_fusion,0.8473199842349246,0.751978494623656,0.4248153498004843,0.75
Libya,thermal_only,0.774906030925644,0.6779050940341262,0.3951370827860622,
Libya,image_only,0.8358544762166062,0.6526905499041722,0.4447976630032428,
Libya,early_fusion,0.8743256559315549,0.7531711804956586,0.4533247252910229,
Libya,late_fusion,0.8630515786196409,0.7464285714285713,0.48370149405172497,0.5
Nigeria,thermal_only,0.8143787045052664,0.7160040437459793,0.4980019665051324,
Nigeria,image_only,0.7454282827522385,0.6412329792270752,0.1599171468900183,
Nigeria,early_fusion,0.8688927690994948,0.7460673457838144,0.360133726990286,
Nigeria,late_fusion,0.8800275598253059,0.7544240755310779,0.3433624377009219,0.5
