source_id,country,is_eog_flare,eog_flare_id,block_id
Algeria_5371,Algeria,1,s_7845,Algeria_b100027099966
Angola_87870,Angola,0,,Angola_b100004100041
Indonesia_71755,Indonesia,0,,Indonesia_b100047099932
Iraq_24559,Iraq,0,,Iraq_b99998100037
Libya_2393,Libya,0,,Libya_b99938100040
Nigeria_60999,Nigeria,1,s_4156a,Nigeria_b99989099955
Algeria_13320,Algeria,0,,Algeria_b99958100052
Angola_500129,Angola,0,,Angola_b100024100051
Indonesia_180852,Indonesia,0,,Indonesia_b100055100024
Iraq_3879,Iraq,1,s_22056,Iraq_b100011099974
Libya_2174,Libya,0,,Libya_b99941099975
Nigeria_52663,Nigeria,1,s_3788,Nigeria_b99993099955
Algeria_2141,Algeria,0,,Algeria_b99988100056
Angola_670818,Angola,0,,Angola_b99975099997
Indonesia_63195,Indonesia,1,s_2592,Indonesia_b99894099983
Iraq_4973,Iraq,0,,Iraq_b99988099998
Libya_380,Libya,1,s_8164,Libya_b100008099992
Nigeria_221559,Nigeria,0,,Nigeria_b99999100007
Algeria_7303,Algeria,0,,Algeria_b100013100059
Angola_343677,Angola,0,,Angola_b99984100022
Indonesia_95098,Indonesia,0,,Indonesia_b99931100046
Iraq_29660,Iraq,0,,Iraq_b99975100042
Libya_1686,Libya,1,s_20295,Libya_b99921100028
Nigeria_327624,Nigeria,0,,Nigeria_b99988099976
Algeria_11739,Algeria,0,,Algeria_b99999100002
Angola_761099,Angola,0,,Angola_b99992099983
Iraq_32729,Iraq,0,,Iraq_b99973100032
Libya_2516,Libya,0,,Libya_b99955099976
Nigeria_28668,Nigeria,1,s_3946,Nigeria_b99988099963
Algeria_8929,Algeria,0,,Algeria_b100000100002
Angola_623789,Angola,1,s_2035,Angola_b99939100060
Indonesia_110447,Indonesia,0,,Indonesia_b100129099956
Iraq_33880,Iraq,0,,Iraq_b99972100046
Libya_2075,Libya,0,,Libya_b100037100043
Nigeria_42858,Nigeria,1,s_3954,Nigeria_b99972099965
Algeria_255,Algeria,1,s_19895a,Algeria_b99938100047
Angola_708733,Angola,0,,Angola_b99949100036
Indonesia_58413,Indonesia,1,s_4585,Indonesia_b99841100050
Iraq_7830,Iraq,0,,Iraq_b99982100041
Libya_2306,Libya,0,,Libya_b100027100045
Nigeria_53060,Nigeria,1,s_4009a,Nigeria_b99988099956
Algeria_2790,Algeria,1,m_301,Algeria_b99972100017
Angola_299863,Angola,0,,Angola_b100010100033
Indonesia_20097,Indonesia,0,,Indonesia_b99968100008
Iraq_6102,Iraq,0,,Iraq_b99990100042
Libya_1817,Libya,0,,Libya_b99952099967
Nigeria_319387,Nigeria,0,,Nigeria_b99981100041
