country,branch,n,n_positive,threshold,precision,recall,f1,pr_auc,roc_auc,tn,fp,fn,tp
Algeria,nb9_baseline,48,15,0.38831101298214976,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8286327512643302,0.896969696969697,28,5,5,10
Algeria,temporal_features,48,15,0.39817118183074257,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8232569676276771,0.892929292929293,28,5,5,10
Algeria,rank_blend_nb9_baseline,48,15,0.7291666666666667,0.7692307692307693,0.6666666666666666,0.7142857142857143,0.80791943965857,0.8838383838383839,30,3,5,10
Algeria,rank_blend_temporal_features,48,15,0.7625,0.7272727272727273,0.5333333333333333,0.6153846153846154,0.8056809374200677,0.8828282828282827,30,3,7,8
Algeria,tcn_only,48,15,0.6483678817749023,0.6666666666666666,0.5333333333333333,0.5925925925925926,0.6822414320783885,0.7696969696969697,29,4,7,8
Algeria,nested_champion,48,15,0.38831101298214976,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8286327512643302,0.896969696969697,28,5,5,10
Angola,nb9_baseline,50,6,0.36500566036203064,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9583333333333333,0.9924242424242424,43,1,1,5
Angola,temporal_features,50,6,0.3794737094115125,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9444444444444443,0.9886363636363636,43,1,1,5
Angola,rank_blend_nb9_baseline,50,6,0.75,0.5,1.0,0.6666666666666666,0.9242424242424243,0.9810606060606061,38,6,0,6
Angola,rank_blend_temporal_features,50,6,0.7375,0.5,1.0,0.6666666666666666,0.9166666666666666,0.9772727272727273,38,6,0,6
Angola,tcn_only,50,6,0.4157941937446594,0.8,0.6666666666666666,0.7272727272727273,0.7462962962962962,0.8598484848484849,43,1,2,4
Angola,nested_champion,50,6,0.36500566036203064,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9583333333333333,0.9924242424242424,43,1,1,5
Indonesia,nb9_baseline,48,17,0.4291004456760507,1.0,0.7647058823529411,0.8666666666666667,0.9559171186204978,0.9392789373814042,31,0,4,13
Indonesia,temporal_features,48,17,0.3556124664004966,1.0,0.8235294117647058,0.9032258064516129,0.9522406480322625,0.9373814041745732,31,0,3,14
Indonesia,rank_blend_nb9_baseline,48,17,0.75,1.0,0.7058823529411765,0.8275862068965517,0.9502450980392158,0.9335863377609107,31,0,5,12
Indonesia,rank_blend_temporal_features,48,17,0.7591836734693878,1.0,0.7058823529411765,0.8275862068965517,0.9527218782249742,0.935483870967742,31,0,5,12
Indonesia,tcn_only,48,17,0.68467116355896,0.75,0.7058823529411765,0.7272727272727273,0.8453397653396207,0.8633776091081593,27,4,5,12
Indonesia,nested_champion,48,17,0.7591836734693878,1.0,0.7058823529411765,0.8275862068965517,0.9527218782249742,0.935483870967742,31,0,5,12
Iraq,nb9_baseline,48,18,0.4096356724412543,1.0,0.7777777777777778,0.875,0.8777192517502594,0.8481481481481482,30,0,4,14
Iraq,temporal_features,48,18,0.36302480723542574,0.9333333333333333,0.7777777777777778,0.8484848484848485,0.8770519177495922,0.8462962962962963,29,1,4,14
Iraq,rank_blend_nb9_baseline,48,18,0.7208333333333333,1.0,0.7777777777777778,0.875,0.882698223395898,0.8583333333333335,30,0,4,14
Iraq,rank_blend_temporal_features,48,18,0.7137254901960784,1.0,0.7777777777777778,0.875,0.8795061263441517,0.8527777777777777,30,0,4,14
Iraq,tcn_only,48,18,0.6229003667831421,0.8571428571428571,0.6666666666666666,0.75,0.873541597767604,0.8759259259259259,28,2,6,12
Iraq,nested_champion,48,18,0.7208333333333333,1.0,0.7777777777777778,0.875,0.882698223395898,0.8583333333333335,30,0,4,14
Libya,nb9_baseline,51,15,0.4533247252910229,0.7222222222222222,0.8666666666666667,0.7878787878787878,0.9055265478511092,0.924074074074074,31,5,2,13
Libya,temporal_features,51,15,0.4573627321621084,0.7222222222222222,0.8666666666666667,0.7878787878787878,0.906237785404452,0.9259259259259259,31,5,2,13
Libya,rank_blend_nb9_baseline,51,15,0.7416666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.9197509157509157,0.9324074074074075,34,2,2,13
Libya,rank_blend_temporal_features,51,15,0.7416666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.917887667887668,0.9379629629629629,34,2,2,13
Libya,tcn_only,51,15,0.8038526177406311,0.8461538461538461,0.7333333333333333,0.7857142857142857,0.8528851933973884,0.8907407407407407,34,2,4,11
Libya,nested_champion,51,15,0.7416666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.917887667887668,0.9379629629629629,34,2,2,13
Nigeria,nb9_baseline,49,16,0.360133726990286,1.0,0.5625,0.72,0.908974358974359,0.9204545454545454,33,0,7,9
Nigeria,temporal_features,49,16,0.37667197479782366,1.0,0.5625,0.72,0.910536858974359,0.9223484848484849,33,0,7,9
Nigeria,rank_blend_nb9_baseline,49,16,0.7666666666666667,1.0,0.75,0.8571428571428571,0.9078249007936507,0.9251893939393939,33,0,4,12
Nigeria,rank_blend_temporal_features,49,16,0.7833333333333333,1.0,0.6875,0.8148148148148148,0.9131944444444444,0.9289772727272727,33,0,5,11
Nigeria,tcn_only,49,16,0.5078058242797852,0.8181818181818182,0.5625,0.6666666666666666,0.8199342786842787,0.8825757575757576,31,2,7,9
Nigeria,nested_champion,49,16,0.7833333333333333,1.0,0.6875,0.8148148148148148,0.9131944444444444,0.9289772727272727,33,0,5,11
