feature,mean_gain
active_days_per_year,798.1765910132477
night_frac,513.2774605179826
img_nearest_builtup_in_chip_m,292.320160775329
img_center_wc_20_fraction,264.28619754066074
img_center_wc_40_fraction,215.92141608645517
img_full_ndvi_median,145.85259923820072
t_lwir_mean_country_pct,92.4625953863142
img_center_ndvi_p90,87.74555804844324
t_lwir_med_country_pct,82.42215358722024
duty_cycle,75.557293561132
det_per_year,64.48986616078764
img_center_mndwi_p10,59.44888265236901
lst_mean,44.19214443885721
img_center_wc_60_fraction,40.64065396040678
active_months_per_year,37.64616112907728
snpp_modis_ratio,35.286462138717376
t_mir_mean_country_pct,33.99468532204628
t_lwir_max_country_pct,29.588569516936943
frp_med_country_pct,27.830966350001596
t_mir_med_country_pct,24.27912898485859
img_full_ndbi_median,23.252041878256325
img_center_wc_50_fraction,22.50545493389169
img_center_swir16_median,19.300475092604756
frp_mean_country_pct,18.572146934845176
img_center_mndwi_p90,18.3066202159971
img_center_ndbi_p10,18.0444094662865
frp_dens_med_country_pct,17.80431068626543
mean_gap_days,17.734599714477856
dt_mir_lwir_mean_country_pct,15.071032275756203
img_center_wc_10_fraction,14.518007804329194
img_center_ndvi_median,12.599552201728025
dt_mir_lwir_max_country_pct,11.125679801528651
img_center_mndwi_median,10.77321806074724
img_center_swir22_median,10.20095393806696
img_full_mndwi_median,9.727572915920367
det_per_day,9.671189411232868
snpp_per_year,9.398883268237114
img_center_ndbi_p90,8.34735993295908
t_lwir_std_country_pct,7.88809068252643
span_window_frac,6.796361711497108
frp_sum_per_year_country_pct,6.745778743798534
img_center_wc_30_fraction,6.670202806300949
max_gap_days,6.669990183009456
img_center_nir_median,6.537810191512108
frp_dens_mean_country_pct,5.972059062992533
dt_mir_lwir_med_country_pct,5.4619178635378685
img_center_ndvi_p10,5.117161388198534
img_center_blue_median,4.511461691310008
dt_mir_lwir_std_country_pct,4.244614733926331
img_center_ndbi_median,3.908965982651959
img_center_red_median,3.688229240477085
frp_dens_max_country_pct,3.269160655637582
t_mir_max_country_pct,2.7491363822015655
frp_std_country_pct,2.649172248939673
img_center_green_median,2.5691917315125465
frp_dens_std_country_pct,2.238221329947313
lst_std,1.9478270138303437
frp_p90_country_pct,1.4811666284998257
t_mir_std_country_pct,1.3757670640479773
frp_max_country_pct,1.158235857884089
frp_cv,0.32563723189135396
n_sensors,0.0
modis_per_year,0.0
sat_frac,0.0
img_center_wc_70_fraction,0.0
img_center_wc_80_fraction,0.0
img_center_wc_90_fraction,0.0
img_center_wc_95_fraction,0.0
img_center_wc_100_fraction,0.0
