country,branch,n,n_positive,pr_auc,roc_auc
Algeria,nb8_population,10163,1039,0.6894203834957432,0.8956156520007309
Algeria,tcn_population,10163,1039,0.539417948600432,0.8679081579048413
Algeria,fixed_rank_blend,10163,1039,0.675638362040732,0.8965067011707797
Angola,nb8_population,970253,32,0.24608670428515175,0.9696859497732991
Angola,tcn_population,970253,32,0.1482910243037656,0.8399950565386649
Angola,fixed_rank_blend,970253,32,0.2650361811400084,0.9628756135200125
Indonesia,nb8_population,183558,376,0.145614628747704,0.9058112505014778
Indonesia,tcn_population,183558,376,0.02519337649806535,0.833912360617054
Indonesia,fixed_rank_blend,183558,376,0.10133487166286839,0.9086935862182872
Iraq,nb8_population,30598,741,0.6406249436082888,0.9338906366862431
Iraq,tcn_population,30598,741,0.533827642512178,0.9100675206789791
Iraq,fixed_rank_blend,30598,741,0.648854835723372,0.9333647832897767
Libya,nb8_population,2696,546,0.75632927055913,0.9066385552432064
Libya,tcn_population,2696,546,0.621971170515332,0.840284947610529
Libya,fixed_rank_blend,2696,546,0.7433175471497729,0.9011431978873841
Nigeria,nb8_population,436887,772,0.2815784027527953,0.8689417198094884
Nigeria,tcn_population,436887,772,0.3554731438691201,0.8343447166779167
Nigeria,fixed_rank_blend,436887,772,0.3525081709000856,0.8716469870956104
