country,branch,top_fraction,candidates,precision_at_gate,source_recall_at_gate,site_recall_at_gate
Algeria,nb8_population,0.001,11,1.0,0.010587102983638113,0.0221606648199446
Algeria,nb8_population,0.0025,26,1.0,0.025024061597690085,0.05263157894736842
Algeria,nb8_population,0.005,51,0.9803921568627451,0.04812319538017324,0.10249307479224377
Algeria,nb8_population,0.01,102,0.9411764705882353,0.09239653512993262,0.17174515235457063
Algeria,nb8_population,0.02,204,0.9313725490196079,0.18286814244465832,0.3047091412742382
Algeria,tcn_population,0.001,11,0.5454545454545454,0.005774783445620789,0.008310249307479225
Algeria,tcn_population,0.0025,26,0.5,0.012512030798845043,0.024930747922437674
Algeria,tcn_population,0.005,51,0.5294117647058824,0.02598652550529355,0.05817174515235457
Algeria,tcn_population,0.01,102,0.6274509803921569,0.061597690086621755,0.1329639889196676
Algeria,tcn_population,0.02,204,0.6715686274509803,0.13185755534167468,0.24930747922437674
Algeria,fixed_rank_blend,0.001,11,0.9090909090909091,0.009624639076034648,0.024930747922437674
Algeria,fixed_rank_blend,0.0025,26,0.9230769230769231,0.023099133782483156,0.0443213296398892
Algeria,fixed_rank_blend,0.005,51,0.9607843137254902,0.04716073147256978,0.10526315789473684
Algeria,fixed_rank_blend,0.01,102,0.9607843137254902,0.09432146294513956,0.18559556786703602
Algeria,fixed_rank_blend,0.02,204,0.9068627450980392,0.17805582290664101,0.3074792243767313
Angola,nb8_population,0.001,971,0.01132852729145211,0.34375,0.6
Angola,nb8_population,0.0025,2426,0.00494641384995878,0.375,0.6
Angola,nb8_population,0.005,4852,0.00247320692497939,0.375,0.6
Angola,nb8_population,0.01,9703,0.001442852725961043,0.4375,0.6
Angola,nb8_population,0.02,19406,0.0008244872719777389,0.5,0.7
Angola,tcn_population,0.001,971,0.012358393408856848,0.375,0.6
Angola,tcn_population,0.0025,2426,0.0053586150041220115,0.40625,0.6
Angola,tcn_population,0.005,4852,0.0028854080791426216,0.4375,0.7
Angola,tcn_population,0.01,9703,0.0015459136349582603,0.46875,0.7
Angola,tcn_population,0.02,19406,0.0009275481809749562,0.5625,0.7
Angola,fixed_rank_blend,0.001,971,0.01132852729145211,0.34375,0.6
Angola,fixed_rank_blend,0.0025,2426,0.005770816158285243,0.4375,0.6
Angola,fixed_rank_blend,0.005,4852,0.0030915086562242375,0.46875,0.6
Angola,fixed_rank_blend,0.01,9703,0.0016489745439554778,0.5,0.6
Angola,fixed_rank_blend,0.02,19406,0.0008760177264763475,0.53125,0.7
Indonesia,nb8_population,0.001,184,0.28804347826086957,0.14095744680851063,0.21195652173913043
Indonesia,nb8_population,0.0025,459,0.24183006535947713,0.29521276595744683,0.3967391304347826
Indonesia,nb8_population,0.005,918,0.17320261437908496,0.4228723404255319,0.5652173913043478
Indonesia,nb8_population,0.01,1836,0.1056644880174292,0.5159574468085106,0.625
Indonesia,nb8_population,0.02,3672,0.06181917211328976,0.6037234042553191,0.6847826086956522
Indonesia,tcn_population,0.001,184,0.08152173913043478,0.0398936170212766,0.059782608695652176
Indonesia,tcn_population,0.0025,459,0.05010893246187364,0.061170212765957445,0.09782608695652174
Indonesia,tcn_population,0.005,918,0.03812636165577342,0.09308510638297872,0.1358695652173913
Indonesia,tcn_population,0.01,1836,0.032679738562091505,0.1595744680851064,0.22282608695652173
Indonesia,tcn_population,0.02,3672,0.026688453159041396,0.26063829787234044,0.34782608695652173
Indonesia,fixed_rank_blend,0.001,184,0.20108695652173914,0.09840425531914894,0.15217391304347827
Indonesia,fixed_rank_blend,0.0025,459,0.1786492374727669,0.21808510638297873,0.32065217391304346
Indonesia,fixed_rank_blend,0.005,918,0.1383442265795207,0.3377659574468085,0.4782608695652174
Indonesia,fixed_rank_blend,0.01,1836,0.09803921568627451,0.4787234042553192,0.6141304347826086
Indonesia,fixed_rank_blend,0.02,3672,0.061274509803921566,0.598404255319149,0.6847826086956522
Iraq,nb8_population,0.001,31,0.9354838709677419,0.03913630229419703,0.11363636363636363
Iraq,nb8_population,0.0025,77,0.8961038961038961,0.0931174089068826,0.19090909090909092
Iraq,nb8_population,0.005,153,0.9019607843137255,0.1862348178137652,0.33636363636363636
Iraq,nb8_population,0.01,306,0.8366013071895425,0.34547908232118757,0.5227272727272727
Iraq,nb8_population,0.02,612,0.704248366013072,0.581646423751687,0.6818181818181818
Iraq,tcn_population,0.001,31,0.6774193548387096,0.02834008097165992,0.06363636363636363
Iraq,tcn_population,0.0025,77,0.5584415584415584,0.058029689608636977,0.1318181818181818
Iraq,tcn_population,0.005,153,0.6535947712418301,0.1349527665317139,0.2909090909090909
Iraq,tcn_population,0.01,306,0.7254901960784313,0.29959514170040485,0.4727272727272727
Iraq,tcn_population,0.02,612,0.6879084967320261,0.5681511470985156,0.6818181818181818
Iraq,fixed_rank_blend,0.001,31,0.9032258064516129,0.037786774628879895,0.09545454545454546
Iraq,fixed_rank_blend,0.0025,77,0.8961038961038961,0.0931174089068826,0.20454545454545456
Iraq,fixed_rank_blend,0.005,153,0.8954248366013072,0.18488529014844804,0.35909090909090907
Iraq,fixed_rank_blend,0.01,306,0.8398692810457516,0.3468286099865047,0.5227272727272727
Iraq,fixed_rank_blend,0.02,612,0.7287581699346405,0.601889338731444,0.7
Libya,nb8_population,0.001,3,1.0,0.005494505494505495,0.01775147928994083
Libya,nb8_population,0.0025,7,1.0,0.01282051282051282,0.04142011834319527
Libya,nb8_population,0.005,14,1.0,0.02564102564102564,0.0650887573964497
Libya,nb8_population,0.01,27,0.9629629629629629,0.047619047619047616,0.10650887573964497
Libya,nb8_population,0.02,54,0.9629629629629629,0.09523809523809523,0.1952662721893491
Libya,tcn_population,0.001,3,1.0,0.005494505494505495,0.01775147928994083
Libya,tcn_population,0.0025,7,0.8571428571428571,0.01098901098901099,0.029585798816568046
Libya,tcn_population,0.005,14,0.8571428571428571,0.02197802197802198,0.05917159763313609
Libya,tcn_population,0.01,27,0.7037037037037037,0.0347985347985348,0.09467455621301775
Libya,tcn_population,0.02,54,0.7037037037037037,0.0695970695970696,0.16568047337278108
Libya,fixed_rank_blend,0.001,3,1.0,0.005494505494505495,0.01775147928994083
Libya,fixed_rank_blend,0.0025,7,0.8571428571428571,0.01098901098901099,0.029585798816568046
Libya,fixed_rank_blend,0.005,14,0.9285714285714286,0.023809523809523808,0.05917159763313609
Libya,fixed_rank_blend,0.01,27,0.9629629629629629,0.047619047619047616,0.11834319526627218
Libya,fixed_rank_blend,0.02,54,0.9259259259259259,0.09157509157509157,0.20710059171597633
Nigeria,nb8_population,0.001,437,0.5194508009153318,0.29404145077720206,0.3888888888888889
Nigeria,nb8_population,0.0025,1093,0.28545288197621227,0.40414507772020725,0.5173611111111112
Nigeria,nb8_population,0.005,2185,0.16704805491990846,0.4727979274611399,0.5729166666666666
Nigeria,nb8_population,0.01,4369,0.09361409933623255,0.5297927461139896,0.6180555555555556
Nigeria,nb8_population,0.02,8738,0.050469214923323416,0.5712435233160622,0.6597222222222222
Nigeria,tcn_population,0.001,437,0.6361556064073226,0.3601036269430052,0.4791666666666667
Nigeria,tcn_population,0.0025,1093,0.3019213174748399,0.4274611398963731,0.5659722222222222
Nigeria,tcn_population,0.005,2185,0.1597254004576659,0.4520725388601036,0.5763888888888888
Nigeria,tcn_population,0.01,4369,0.08537422751201648,0.483160621761658,0.5972222222222222
Nigeria,tcn_population,0.02,8738,0.04669260700389105,0.5284974093264249,0.6388888888888888
Nigeria,fixed_rank_blend,0.001,437,0.6475972540045767,0.36658031088082904,0.4722222222222222
Nigeria,fixed_rank_blend,0.0025,1093,0.31564501372369624,0.44689119170984454,0.5555555555555556
Nigeria,fixed_rank_blend,0.005,2185,0.17254004576659038,0.4883419689119171,0.5902777777777778
Nigeria,fixed_rank_blend,0.01,4369,0.093842984664683,0.5310880829015544,0.6319444444444444
Nigeria,fixed_rank_blend,0.02,8738,0.05069810025177386,0.5738341968911918,0.6736111111111112
