excluded_countries,train_countries,training_sources,training_positives,training_unlabeled,seed,epochs,batch_size,unlabeled_keep_fraction,device,parameter_count,sampler,loss,normalization,bag_index,pu_bags,kind,scored_sources,scored_cohort_sources,score_population,embedding_dimension
['Algeria'],"['Angola', 'Indonesia', 'Iraq', 'Libya', 'Nigeria']",7839,871,6968,1131,8,512,0.8,cuda,27873,"{'policy': 'inverse-country-count', 'replacement': True, 'draws_per_epoch': 7839, 'country_source_counts': {'Angola': 90, 'Indonesia': 1656, 'Iraq': 1980, 'Libya': 1521, 'Nigeria': 2592}}","[0.8480935307132421, 0.620976211670665, 0.5539167142215471, 0.5618934848962778, 0.5341686338076012, 0.5391746989043487, 0.49045108577885455, 0.5270670830541947]","{'center': [1.0986123085021973, 1.0986123085021973, 2.8495497703552246, 1.7474592924118042, 328.29998779296875, 30.05999755859375, 0.60447758436203, 0.0, 0.0, 0.0, 0.0, 0.0], 'scale': [1.7047481536865234, 1.3862943649291992, 2.533527374267578, 1.5069119930267334, 27.96014404296875, 16.944969177246094, 1.0, 0.19298961758613586, 0.1428571492433548, 1.0, 1.0, 1.0]}",0,2,single,10163,48.0,True,0
['Algeria'],"['Angola', 'Indonesia', 'Iraq', 'Libya', 'Nigeria']",7839,871,6968,1232,8,512,0.8,cuda,27873,"{'policy': 'inverse-country-count', 'replacement': True, 'draws_per_epoch': 7839, 'country_source_counts': {'Angola': 90, 'Indonesia': 1656, 'Iraq': 1980, 'Libya': 1521, 'Nigeria': 2592}}","[0.8744759748124669, 0.6389121375288916, 0.5344914007223387, 0.5212919184224523, 0.5000237780788873, 0.5380910117113099, 0.5422337678017429, 0.5094507386952368]","{'center': [1.0986123085021973, 1.0986123085021973, 2.8387861251831055, 1.7439687252044678, 328.29998779296875, 29.989990234375, 0.604651153087616, 0.0, 0.0, 0.0, 0.0, 0.0], 'scale': [1.7047481536865234, 1.3862943649291992, 2.531062126159668, 1.5158114433288574, 27.98755645751953, 16.96626853942871, 1.0, 0.19382674992084503, 0.1428571492433548, 1.0, 1.0, 1.0]}",1,2,single,10163,48.0,True,0
['Angola'],"['Algeria', 'Indonesia', 'Iraq', 'Libya', 'Nigeria']",10998,1222,9776,2131,8,512,0.8,cuda,27873,"{'policy': 'inverse-country-count', 'replacement': True, 'draws_per_epoch': 10998, 'country_source_counts': {'Algeria': 3249, 'Indonesia': 1656, 'Iraq': 1980, 'Libya': 1521, 'Nigeria': 2592}}","[0.9475140605737652, 0.6927625723894476, 0.6511366424137386, 0.6354379319758778, 0.6467443580659091, 0.6095381522421448, 0.598261922202255, 0.6368026139411433]","{'center': [1.3862943649291992, 1.0986123085021973, 2.8317418098449707, 1.5851452350616455, 325.5675048828125, 29.02001953125, 0.6755001544952393, 0.0, 0.0, 0.0, 0.0, 0.0], 'scale': [2.0149030685424805, 1.7047481536865234, 2.5602166652679443, 1.484931230545044, 28.90123748779297, 16.854116439819336, 1.0, 0.18320561945438385, 0.09677419066429138, 1.0, 1.0, 1.0]}",0,2,single,970253,50.0,True,0
['Angola'],"['Algeria', 'Indonesia', 'Iraq', 'Libya', 'Nigeria']",10998,1222,9776,2232,8,512,0.8,cuda,27873,"{'policy': 'inverse-country-count', 'replacement': True, 'draws_per_epoch': 10998, 'country_source_counts': {'Algeria': 3249, 'Indonesia': 1656, 'Iraq': 1980, 'Libya': 1521, 'Nigeria': 2592}}","[0.897549945487827, 0.6557020268931911, 0.6409183688371003, 0.6091514346945999, 0.6199759999217282, 0.6029486525793643, 0.5859570465080953, 0.5995930211612107]","{'center': [1.3862943649291992, 1.0986123085021973, 2.823460102081299, 1.5851452350616455, 325.8206787109375, 29.068096160888672, 0.6703296899795532, 0.0, 0.0, 0.0, 0.0, 0.0], 'scale': [1.9459102153778076, 1.7047481536865234, 2.5476837158203125, 1.4671883583068848, 28.864990234375, 16.868921279907227, 1.0, 0.18332679569721222, 0.09090909361839294, 1.0, 1.0, 1.0]}",1,2,single,970253,50.0,True,0
['Indonesia'],"['Algeria', 'Angola', 'Iraq', 'Libya', 'Nigeria']",9432,1048,8384,3131,8,512,0.8,cuda,27873,"{'policy': 'inverse-country-count', 'replacement': True, 'draws_per_epoch': 9432, 'country_source_counts': {'Algeria': 3249, 'Angola': 90, 'Iraq': 1980, 'Libya': 1521, 'Nigeria': 2592}}","[0.9499242268344728, 0.6150115338597285, 0.6063880504340413, 0.5156524000883709, 0.5480613703946121, 0.4865570596661782, 0.4880075776243331, 0.5026915620402627]","{'center': [1.3862943649291992, 1.0986123085021973, 2.8667619228363037, 1.539015531539917, 325.3247985839844, 28.55168342590332, 0.6969696879386902, 0.0, 0.0, 0.0, 0.0, 0.0], 'scale': [2.140066146850586, 1.8718020915985107, 2.561497211456299, 1.4308264255523682, 29.28337860107422, 16.260602951049805, 1.0, 0.1876286417245865, 0.07901250571012497, 1.0, 1.0, 1.0]}",0,2,single,183558,48.0,True,0
['Indonesia'],"['Algeria', 'Angola', 'Iraq', 'Libya', 'Nigeria']",9432,1048,8384,3232,8,512,0.8,cuda,27873,"{'policy': 'inverse-country-count', 'replacement': True, 'draws_per_epoch': 9432, 'country_source_counts': {'Algeria': 3249, 'Angola': 90, 'Iraq': 1980, 'Libya': 1521, 'Nigeria': 2592}}","[0.9480089486605844, 0.6351166069254822, 0.601883529757321, 0.5455110081683993, 0.5062560927473558, 0.4984168321323961, 0.5027157084430245, 0.49374964193735615]","{'center': [1.3862943649291992, 1.0986123085021973, 2.8892600536346436, 1.5496878623962402, 325.50164794921875, 28.603092193603516, 0.692307710647583, 0.0, 0.0, 0.0, 0.0, 0.0], 'scale': [2.140066146850586, 1.8718020915985107, 2.576667308807373, 1.4305781126022339, 29.123092651367188, 16.224990844726562, 1.0, 0.1885487586259842, 0.08163265138864517, 1.0, 1.0, 1.0]}",1,2,single,183558,48.0,True,0
['Iraq'],"['Algeria', 'Angola', 'Indonesia', 'Libya', 'Nigeria']",9108,1012,8096,4131,8,512,0.8,cuda,27873,"{'policy': 'inverse-country-count', 'replacement': True, 'draws_per_epoch': 9108, 'country_source_counts': {'Algeria': 3249, 'Angola': 90, 'Indonesia': 1656, 'Libya': 1521, 'Nigeria': 2592}}","[0.9747545382250911, 0.6301035156206023, 0.6462172453320754, 0.5793775613757147, 0.5444809109116522, 0.512913900859847, 0.5409222764041165, 0.5588664605945257]","{'center': [1.0986123085021973, 1.0986123085021973, 2.626840114593506, 1.5216989517211914, 325.51800537109375, 29.30864143371582, 0.6666666865348816, 0.0, 0.0, 0.0, 0.0, 0.0], 'scale': [1.6094379425048828, 1.252763032913208, 2.35214900970459, 1.4288029670715332, 29.662506103515625, 17.06914520263672, 1.0, 0.1668374091386795, 0.02777777798473835, 1.0, 1.0, 1.0]}",0,2,single,30598,48.0,True,0
['Iraq'],"['Algeria', 'Angola', 'Indonesia', 'Libya', 'Nigeria']",9108,1012,8096,4232,8,512,0.8,cuda,27873,"{'policy': 'inverse-country-count', 'replacement': True, 'draws_per_epoch': 9108, 'country_source_counts': {'Algeria': 3249, 'Angola': 90, 'Indonesia': 1656, 'Libya': 1521, 'Nigeria': 2592}}","[0.9450464160179537, 0.6560495298684664, 0.5859620023255396, 0.5716503597321508, 0.5622412312381562, 0.5671560531600714, 0.5322952894825238, 0.5310280242927461]","{'center': [1.0986123085021973, 1.0986123085021973, 2.624668598175049, 1.5173226594924927, 325.2198486328125, 29.213031768798828, 0.6666666865348816, 0.0, 0.0, 0.0, 0.0, 0.0], 'scale': [1.6094379425048828, 1.252763032913208, 2.357346296310425, 1.4342634677886963, 29.701004028320312, 17.090015411376953, 1.0, 0.16644318401813507, 0.02777777798473835, 1.0, 1.0, 1.0]}",1,2,single,30598,48.0,True,0
['Libya'],"['Algeria', 'Angola', 'Indonesia', 'Iraq', 'Nigeria']",9567,1063,8504,5131,8,512,0.8,cuda,27873,"{'policy': 'inverse-country-count', 'replacement': True, 'draws_per_epoch': 9567, 'country_source_counts': {'Algeria': 3249, 'Angola': 90, 'Indonesia': 1656, 'Iraq': 1980, 'Nigeria': 2592}}","[0.8154481742353888, 0.5615809994692387, 0.5256701838986383, 0.49584886884943524, 0.5067655320599671, 0.44833998228049, 0.49349677397612435, 0.49337794108613603]","{'center': [1.3862943649291992, 1.0986123085021973, 2.895911931991577, 1.7095329761505127, 328.11407470703125, 30.02022361755371, 0.6000000238418579, 0.0, 0.0, 0.0, 0.0, 0.0], 'scale': [1.7917594909667969, 1.504077434539795, 2.5195817947387695, 1.4816045761108398, 28.23999786376953, 16.624469757080078, 1.0, 0.19710053503513336, 0.125, 1.0, 1.0, 1.0]}",0,2,single,2696,51.0,True,0
['Libya'],"['Algeria', 'Angola', 'Indonesia', 'Iraq', 'Nigeria']",9567,1063,8504,5232,8,512,0.8,cuda,27873,"{'policy': 'inverse-country-count', 'replacement': True, 'draws_per_epoch': 9567, 'country_source_counts': {'Algeria': 3249, 'Angola': 90, 'Indonesia': 1656, 'Iraq': 1980, 'Nigeria': 2592}}","[0.9805433611031472, 0.6396489043937054, 0.48703462648032864, 0.5112205979012142, 0.513204544474242, 0.5226520956453515, 0.4937118880456177, 0.48882965408822415]","{'center': [1.3862943649291992, 1.0986123085021973, 2.8920369148254395, 1.7029281854629517, 327.89501953125, 29.94999885559082, 0.6000000238418579, 0.0, 0.0, 0.0, 0.0, 0.0], 'scale': [1.7917594909667969, 1.504077434539795, 2.526305675506592, 1.4881837368011475, 28.444900512695312, 16.626684188842773, 1.0, 0.1960849016904831, 0.125, 1.0, 1.0, 1.0]}",1,2,single,2696,51.0,True,0
