country,branch,review_fraction,review_count,positive_found,precision_at_budget,recall_at_budget
Algeria,all77_tabular,0.1,5,5,1.0,0.3333333333333333
Algeria,all77_tabular,0.2,10,8,0.8,0.5333333333333333
Algeria,all77_tabular,0.3,15,10,0.6666666666666666,0.6666666666666666
Algeria,cnn_only,0.1,5,4,0.8,0.26666666666666666
Algeria,cnn_only,0.2,10,6,0.6,0.4
Algeria,cnn_only,0.3,15,10,0.6666666666666666,0.6666666666666666
Algeria,compact_tabular,0.1,5,5,1.0,0.3333333333333333
Algeria,compact_tabular,0.2,10,8,0.8,0.5333333333333333
Algeria,compact_tabular,0.3,15,10,0.6666666666666666,0.6666666666666666
Algeria,cv_multispectral,0.1,5,4,0.8,0.26666666666666666
Algeria,cv_multispectral,0.2,10,8,0.8,0.5333333333333333
Algeria,cv_multispectral,0.3,15,11,0.7333333333333333,0.7333333333333333
Algeria,guarded_cv_tabular,0.1,5,5,1.0,0.3333333333333333
Algeria,guarded_cv_tabular,0.2,10,8,0.8,0.5333333333333333
Algeria,guarded_cv_tabular,0.3,15,10,0.6666666666666666,0.6666666666666666
Algeria,handcrafted_image,0.1,5,5,1.0,0.3333333333333333
Algeria,handcrafted_image,0.2,10,10,1.0,0.6666666666666666
Algeria,handcrafted_image,0.3,15,12,0.8,0.8
Algeria,nested_champion,0.1,5,5,1.0,0.3333333333333333
Algeria,nested_champion,0.2,10,8,0.8,0.5333333333333333
Algeria,nested_champion,0.3,15,10,0.6666666666666666,0.6666666666666666
Angola,all77_tabular,0.1,5,4,0.8,0.6666666666666666
Angola,all77_tabular,0.2,10,6,0.6,1.0
Angola,all77_tabular,0.3,15,6,0.4,1.0
Angola,cnn_only,0.1,5,4,0.8,0.6666666666666666
Angola,cnn_only,0.2,10,6,0.6,1.0
Angola,cnn_only,0.3,15,6,0.4,1.0
Angola,compact_tabular,0.1,5,5,1.0,0.8333333333333334
Angola,compact_tabular,0.2,10,6,0.6,1.0
Angola,compact_tabular,0.3,15,6,0.4,1.0
Angola,cv_multispectral,0.1,5,4,0.8,0.6666666666666666
Angola,cv_multispectral,0.2,10,6,0.6,1.0
Angola,cv_multispectral,0.3,15,6,0.4,1.0
