country,branch,n,n_positive,threshold,precision,recall,f1,pr_auc,roc_auc,tn,fp,fn,tp
Algeria,compact_tabular,48,15,0.38663582345319963,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8231382948774253,0.8949494949494949,28,5,5,10
Algeria,all77_tabular,48,15,0.38606321641019287,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8413722388722389,0.9030303030303031,28,5,5,10
Algeria,handcrafted_image,48,15,0.32067483751198855,0.65,0.8666666666666667,0.7428571428571429,0.900444828469022,0.9191919191919191,26,7,2,13
Algeria,cnn_only,48,15,0.43044561890033084,0.46875,1.0,0.6382978723404256,0.6581509162716257,0.8343434343434343,16,17,0,15
Algeria,cv_multispectral,48,15,0.2576251330867904,0.4642857142857143,0.8666666666666667,0.6046511627906976,0.7635960971349967,0.8686868686868686,18,15,2,13
Algeria,guarded_cv_tabular,48,15,0.5921911538279514,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8276946731625275,0.8949494949494949,28,5,5,10
Algeria,nested_champion,48,15,0.5921911538279514,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8276946731625275,0.8949494949494949,28,5,5,10
Angola,compact_tabular,50,6,0.4275471214277955,1.0,0.6666666666666666,0.8,0.976190476190476,0.9962121212121212,44,0,2,4
Angola,all77_tabular,50,6,0.3766417906802942,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.9305555555555555,0.9886363636363636,42,2,1,5
Angola,handcrafted_image,50,6,0.44691266216432657,0.8,0.6666666666666666,0.7272727272727273,0.8523809523809524,0.9583333333333333,43,1,2,4
Angola,cnn_only,50,6,0.17519264536111429,0.35294117647058826,1.0,0.5217391304347826,0.8259259259259258,0.9659090909090908,33,11,0,6
Angola,cv_multispectral,50,6,0.16703122552503863,0.3,1.0,0.46153846153846156,0.8634920634920634,0.9772727272727273,30,14,0,6
Angola,guarded_cv_tabular,50,6,0.5992638971128679,0.8571428571428571,1.0,0.9230769230769231,1.0,1.0,43,1,0,6
Angola,nested_champion,50,6,0.3766417906802942,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.9305555555555555,0.9886363636363636,42,2,1,5
Indonesia,compact_tabular,48,17,0.48875496899681853,1.0,0.5294117647058824,0.6923076923076923,0.9559171186204978,0.9392789373814042,31,0,8,9
Indonesia,all77_tabular,48,17,0.2339087242275192,0.7272727272727273,0.9411764705882353,0.8205128205128205,0.9305082559339526,0.922201138519924,25,6,1,16
Indonesia,handcrafted_image,48,17,0.12183308936802395,0.36363636363636365,0.9411764705882353,0.5245901639344263,0.7767163829956136,0.8159392789373814,3,28,1,16
Indonesia,cnn_only,48,17,0.5454332032765727,0.5555555555555556,0.8823529411764706,0.6818181818181818,0.8401806662084157,0.8633776091081594,19,12,2,15
Indonesia,cv_multispectral,48,17,0.5853691186891139,0.6956521739130435,0.9411764705882353,0.8,0.8686363569149036,0.9127134724857685,24,7,1,16
Indonesia,guarded_cv_tabular,48,17,0.603888077495587,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.9566342237378043,0.9658444022770398,28,3,2,15
Indonesia,nested_champion,48,17,0.603888077495587,0.8333333333333334,0.8823529411764706,0.8571428571428571,0.9566342237378043,0.9658444022770398,28,3,2,15
Iraq,compact_tabular,48,18,0.3982628926651872,0.9333333333333333,0.7777777777777778,0.8484848484848485,0.8801383375026786,0.8518518518518519,29,1,4,14
Iraq,all77_tabular,48,18,0.3290829267504655,0.875,0.7777777777777778,0.8235294117647058,0.8617599806454295,0.8333333333333335,28,2,4,14
Iraq,handcrafted_image,48,18,0.37408972361037923,1.0,0.3333333333333333,0.5,0.7112667804606235,0.7277777777777779,30,0,12,6
Iraq,cnn_only,48,18,0.42913623431714515,0.6190476190476191,0.7222222222222222,0.6666666666666666,0.7410705976433066,0.7833333333333333,22,8,5,13
Iraq,cv_multispectral,48,18,0.695068559153488,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.7859289500018478,0.8388888888888889,28,2,8,10
Iraq,guarded_cv_tabular,48,18,0.5605989009693989,1.0,0.7777777777777778,0.875,0.903497268772411,0.8833333333333333,30,0,4,14
Iraq,nested_champion,48,18,0.5605989009693989,1.0,0.7777777777777778,0.875,0.903497268772411,0.8833333333333333,30,0,4,14
Libya,compact_tabular,51,15,0.39750606988460024,0.6190476190476191,0.8666666666666667,0.7222222222222222,0.9068560825139771,0.9259259259259259,28,8,2,13
Libya,all77_tabular,51,15,0.27220451624433095,0.5185185185185185,0.9333333333333333,0.6666666666666666,0.9173391151332327,0.9425925925925926,23,13,1,14
Libya,handcrafted_image,51,15,0.4990400093322085,0.5263157894736842,0.6666666666666666,0.5882352941176471,0.6742830455769052,0.8240740740740742,27,9,5,10
Libya,cnn_only,51,15,0.6607458491814905,0.42424242424242425,0.9333333333333333,0.5833333333333334,0.5785693391450017,0.7925925925925926,17,19,1,14
Libya,cv_multispectral,51,15,0.4813012535470514,0.4838709677419355,1.0,0.6521739130434783,0.6958514889716224,0.8722222222222222,20,16,0,15
Libya,guarded_cv_tabular,51,15,0.5580194915803871,0.4827586206896552,0.9333333333333333,0.6363636363636364,0.9287581699346406,0.9518518518518518,21,15,1,14
Libya,nested_champion,51,15,0.5580194915803871,0.4827586206896552,0.9333333333333333,0.6363636363636364,0.9287581699346406,0.9518518518518518,21,15,1,14
Nigeria,compact_tabular,49,16,0.36385008468665175,1.0,0.5625,0.72,0.9071514423076923,0.9204545454545454,33,0,7,9
Nigeria,all77_tabular,49,16,0.42099995643006727,1.0,0.5625,0.72,0.918298586494151,0.9393939393939393,33,0,7,9
Nigeria,handcrafted_image,49,16,0.12106367370120598,0.7857142857142857,0.6875,0.7333333333333333,0.9117917063157001,0.9545454545454546,30,3,5,11
Nigeria,cnn_only,49,16,0.7035845309297611,1.0,0.1875,0.3157894736842105,0.8627277950807363,0.9034090909090908,33,0,13,3
Nigeria,cv_multispectral,49,16,0.24377580718144137,0.7857142857142857,0.6875,0.7333333333333333,0.84285655983668,0.9299242424242424,30,3,5,11
Nigeria,guarded_cv_tabular,49,16,0.5089318918818956,0.9090909090909091,0.625,0.7407407407407407,0.9533087929227635,0.9753787878787878,32,1,6,10
Nigeria,nested_champion,49,16,0.5089318918818956,0.9090909090909091,0.625,0.7407407407407407,0.9533087929227635,0.9753787878787878,32,1,6,10
