held_out_country,branch,inner_macro_ap,inner_macro_f1,threshold,fusion_alpha,inner_selected_branch,branch_selection_diagnostics,alpha_diagnostics
Algeria,compact_tabular,0.910364517648844,0.8091274505535966,0.38663582345319963,,,,
Algeria,all77_tabular,0.8998889225086669,0.794043659043659,0.38606321641019287,,,,
Algeria,handcrafted_image,0.7629208926984202,0.6553752818200451,0.32067483751198855,,,,
Algeria,cnn_only,0.7103519180025135,0.618227005461048,0.43044561890033084,,,,
Algeria,cv_multispectral,0.7686291263636331,0.6344261447268966,0.2576251330867904,,,,
Algeria,guarded_cv_tabular,0.9278830588234556,0.8190986790986792,0.5921911538279514,0.3,,,"[{""alpha"": 0.0, ""macro_ap"": 0.910364517648844, ""gain"": 0.0, ""improved_countries"": 0, ""worst_delta"": 0.0, ""eligible"": true}, {""alpha"": 0.15, ""macro_ap"": 0.9232622126800921, ""gain"": 0.012897695031248158, ""improved_countries"": 5, ""worst_delta"": 0.004417453891138012, ""eligible"": true}, {""alpha"": 0.3, ""macro_ap"": 0.9278830588234556, ""gain"": 0.0175185411746116, ""improved_countries"": 4, ""worst_delta"": -0.002418871621469143, ""eligible"": true}, {""alpha"": 0.5, ""macro_ap"": 0.9228936940198583, ""gain"": 0.012529176371014361, ""improved_countries"": 3, ""worst_delta"": -0.022768820007470714, ""eligible"": true}, {""alpha"": 0.7, ""macro_ap"": 0.9161800274709206, ""gain"": 0.005815509822076681, ""improved_countries"": 3, ""worst_delta"": -0.044982448395572305, ""eligible"": false}]"
Algeria,nested_champion,0.9278830588234556,0.8190986790986792,0.5921911538279514,,guarded_cv_tabular,"[{""branch"": ""compact_tabular"", ""macro_ap"": 0.910364517648844, ""macro_ap_gain"": 0.0, ""macro_f1"": 0.8091274505535966, ""macro_f1_delta"": 0.0, ""improved_countries"": 0, ""worst_country_delta"": 0.0, ""eligible"": true}, {""branch"": ""all77_tabular"", ""macro_ap"": 0.8998889225086669, ""macro_ap_gain"": -0.01047559514017704, ""macro_f1"": 0.794043659043659, ""macro_f1_delta"": -0.01508379150993755, ""improved_countries"": 3, ""worst_country_delta"": -0.09047619047619038, ""eligible"": false}, {""branch"": ""guarded_cv_tabular"", ""macro_ap"": 0.9278830588234556, ""macro_ap_gain"": 0.0175185411746116, ""macro_f1"": 0.8190986790986792, ""macro_f1_delta"": 0.009971228545082589, ""improved_countries"": 4, ""worst_country_delta"": -0.002418871621469143, ""eligible"": true}]",
Angola,compact_tabular,0.8634788457580326,0.7765873015873016,0.4275471214277955,,,,
Angola,all77_tabular,0.873893252508827,0.7993633085418074,0.3766417906802942,,,,
Angola,handcrafted_image,0.7660635391804069,0.6083154746770307,0.44691266216432657,,,,
Angola,cnn_only,0.7441848952002028,0.6255220823507268,0.17519264536111429,,,,
Angola,cv_multispectral,0.7719723855838898,0.6600939940562582,0.16703122552503863,,,,
Angola,guarded_cv_tabular,0.8957976431933463,0.7285569825058146,0.5992638971128679,0.7,,,"[{""alpha"": 0.0, ""macro_ap"": 0.8634788457580326, ""gain"": 0.0, ""improved_countries"": 0, ""worst_delta"": 0.0, ""eligible"": true}, {""alpha"": 0.15, ""macro_ap"": 0.8707087246610637, ""gain"": 0.007229878903031173, ""improved_countries"": 5, ""worst_delta"": 0.0032424233827724747, ""eligible"": true}, {""alpha"": 0.3, ""macro_ap"": 0.8794175882630695, ""gain"": 0.015938742505036907, ""improved_countries"": 4, ""worst_delta"": -0.00025188617336324715, ""eligible"": true}, {""alpha"": 0.5, ""macro_ap"": 0.887521646321104, ""gain"": 0.024042800563071398, ""improved_countries"": 4, ""worst_delta"": -0.0072051483665745986, ""eligible"": true}, {""alpha"": 0.7, ""macro_ap"": 0.8957976431933463, ""gain"": 0.03231879743531374, ""improved_countries"": 4, ""worst_delta"": -0.028379239903235765, ""eligible"": true}]"
Angola,nested_champion,0.873893252508827,0.7993633085418074,0.3766417906802942,,all77_tabular,"[{""branch"": ""compact_tabular"", ""macro_ap"": 0.8634788457580326, ""macro_ap_gain"": 0.0, ""macro_f1"": 0.7765873015873016, ""macro_f1_delta"": 0.0, ""improved_countries"": 0, ""worst_country_delta"": 0.0, ""eligible"": true}, {""branch"": ""all77_tabular"", ""macro_ap"": 0.873893252508827, ""macro_ap_gain"": 0.010414406750794414, ""macro_f1"": 0.7993633085418074, ""macro_f1_delta"": 0.022776006954505768, ""improved_countries"": 5, ""worst_country_delta"": 0.0005130897124866474, ""eligible"": true}, {""branch"": ""guarded_cv_tabular"", ""macro_ap"": 0.8957976431933463, ""macro_ap_gain"": 0.03231879743531374, ""macro_f1"": 0.7285569825058146, ""macro_f1_delta"": -0.04803031908148703, ""improved_countries"": 4, ""worst_country_delta"": -0.028379239903235765, ""eligible"": false}]",
Indonesia,compact_tabular,0.8487732337154433,0.7160752688172043,0.48875496899681853,,,,
Indonesia,all77_tabular,0.8644474994106591,0.7100305379375147,0.2339087242275192,,,,
Indonesia,handcrafted_image,0.6936161893091773,0.5684503901895206,0.12183308936802395,,,,
Indonesia,cnn_only,0.6863192624019334,0.6347794234750757,0.5454332032765727,,,,
Indonesia,cv_multispectral,0.7352814329055117,0.6576037172479189,0.5853691186891139,,,,
Indonesia,guarded_cv_tabular,0.9077994759869759,0.7430971202710334,0.603888077495587,0.5,,,"[{""alpha"": 0.0, ""macro_ap"": 0.8487732337154433, ""gain"": 0.0, ""improved_countries"": 0, ""worst_delta"": 0.0, ""eligible"": true}, {""alpha"": 0.15, ""macro_ap"": 0.8661497873344128, ""gain"": 0.017376553618969504, ""improved_countries"": 5, ""worst_delta"": 0.003472222222222099, ""eligible"": true}, {""alpha"": 0.3, ""macro_ap"": 0.8868100239255226, ""gain"": 0.03803679021007922, ""improved_countries"": 4, ""worst_delta"": -0.004776047979443865, ""eligible"": true}, {""alpha"": 0.5, ""macro_ap"": 0.9077994759869759, ""gain"": 0.059026242271532525, ""improved_countries"": 5, ""worst_delta"": 0.008633496133496066, ""eligible"": true}, {""alpha"": 0.7, ""macro_ap"": 0.892565148678159, ""gain"": 0.04379191496271562, ""improved_countries"": 4, ""worst_delta"": -0.0029048892284186945, ""eligible"": true}]"
Indonesia,nested_champion,0.9077994759869759,0.7430971202710334,0.603888077495587,,guarded_cv_tabular,"[{""branch"": ""compact_tabular"", ""macro_ap"": 0.8487732337154433, ""macro_ap_gain"": 0.0, ""macro_f1"": 0.7160752688172043, ""macro_f1_delta"": 0.0, ""improved_countries"": 0, ""worst_country_delta"": 0.0, ""eligible"": true}, {""branch"": ""all77_tabular"", ""macro_ap"": 0.8644474994106591, ""macro_ap_gain"": 0.015674265695215794, ""macro_f1"": 0.7100305379375147, ""macro_f1_delta"": -0.006044730879689597, ""improved_countries"": 4, ""worst_country_delta"": -0.02807004280978731, ""eligible"": true}, {""branch"": ""guarded_cv_tabular"", ""macro_ap"": 0.9077994759869759, ""macro_ap_gain"": 0.059026242271532525, ""macro_f1"": 0.7430971202710334, ""macro_f1_delta"": 0.02702185145382907, ""improved_countries"": 5, ""worst_country_delta"": 0.008633496133496066, ""eligible"": true}]",
