country,branch,review_fraction,review_count,positive_found,precision_at_budget,recall_at_budget
Algeria,compact_tabular,0.1,5,5,1.0,0.3333333333333333
Algeria,compact_tabular,0.2,10,8,0.8,0.5333333333333333
Algeria,compact_tabular,0.3,15,10,0.6666666666666666,0.6666666666666666
Algeria,guarded_cv_tabular,0.1,5,5,1.0,0.3333333333333333
Algeria,guarded_cv_tabular,0.2,10,8,0.8,0.5333333333333333
Algeria,guarded_cv_tabular,0.3,15,10,0.6666666666666666,0.6666666666666666
Algeria,all77_tabular,0.1,5,5,1.0,0.3333333333333333
Algeria,all77_tabular,0.2,10,9,0.9,0.6
Algeria,all77_tabular,0.3,15,10,0.6666666666666666,0.6666666666666666
Angola,compact_tabular,0.1,5,5,1.0,0.8333333333333334
Angola,compact_tabular,0.2,10,6,0.6,1.0
Angola,compact_tabular,0.3,15,6,0.4,1.0
Angola,guarded_cv_tabular,0.1,5,5,1.0,0.8333333333333334
Angola,guarded_cv_tabular,0.2,10,6,0.6,1.0
Angola,guarded_cv_tabular,0.3,15,6,0.4,1.0
Angola,all77_tabular,0.1,5,4,0.8,0.6666666666666666
Angola,all77_tabular,0.2,10,6,0.6,1.0
Angola,all77_tabular,0.3,15,6,0.4,1.0
Indonesia,compact_tabular,0.1,5,5,1.0,0.29411764705882354
Indonesia,compact_tabular,0.2,10,10,1.0,0.5882352941176471
Indonesia,compact_tabular,0.3,15,15,1.0,0.8823529411764706
Indonesia,guarded_cv_tabular,0.1,5,5,1.0,0.29411764705882354
Indonesia,guarded_cv_tabular,0.2,10,10,1.0,0.5882352941176471
Indonesia,guarded_cv_tabular,0.3,15,14,0.9333333333333333,0.8235294117647058
Indonesia,all77_tabular,0.1,5,5,1.0,0.29411764705882354
Indonesia,all77_tabular,0.2,10,10,1.0,0.5882352941176471
Indonesia,all77_tabular,0.3,15,13,0.8666666666666667,0.7647058823529411
Iraq,compact_tabular,0.1,5,5,1.0,0.2777777777777778
Iraq,compact_tabular,0.2,10,10,1.0,0.5555555555555556
Iraq,compact_tabular,0.3,15,14,0.9333333333333333,0.7777777777777778
Iraq,guarded_cv_tabular,0.1,5,5,1.0,0.2777777777777778
Iraq,guarded_cv_tabular,0.2,10,10,1.0,0.5555555555555556
Iraq,guarded_cv_tabular,0.3,15,14,0.9333333333333333,0.7777777777777778
Iraq,all77_tabular,0.1,5,5,1.0,0.2777777777777778
Iraq,all77_tabular,0.2,10,10,1.0,0.5555555555555556
Iraq,all77_tabular,0.3,15,14,0.9333333333333333,0.7777777777777778
Libya,compact_tabular,0.1,6,6,1.0,0.4
Libya,compact_tabular,0.2,11,11,1.0,0.7333333333333333
Libya,compact_tabular,0.3,16,13,0.8125,0.8666666666666667
Libya,guarded_cv_tabular,0.1,6,6,1.0,0.4
Libya,guarded_cv_tabular,0.2,11,10,0.9090909090909091,0.6666666666666666
Libya,guarded_cv_tabular,0.3,16,12,0.75,0.8
Libya,all77_tabular,0.1,6,6,1.0,0.4
Libya,all77_tabular,0.2,11,10,0.9090909090909091,0.6666666666666666
Libya,all77_tabular,0.3,16,13,0.8125,0.8666666666666667
Nigeria,compact_tabular,0.1,5,5,1.0,0.3125
Nigeria,compact_tabular,0.2,10,10,1.0,0.625
Nigeria,compact_tabular,0.3,15,12,0.8,0.75
Nigeria,guarded_cv_tabular,0.1,5,5,1.0,0.3125
Nigeria,guarded_cv_tabular,0.2,10,10,1.0,0.625
Nigeria,guarded_cv_tabular,0.3,15,13,0.8666666666666667,0.8125
Nigeria,all77_tabular,0.1,5,5,1.0,0.3125
Nigeria,all77_tabular,0.2,10,10,1.0,0.625
Nigeria,all77_tabular,0.3,15,13,0.8666666666666667,0.8125
