seed,country,branch,n,n_positive,threshold,precision,recall,f1,pr_auc,roc_auc,tn,fp,fn,tp
272,Algeria,compact_tabular,48,15,0.39713984431597077,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8283389460780766,0.892929292929293,28,5,5,10
272,Algeria,all77_tabular,48,15,0.41972536452549053,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8430149600801774,0.9070707070707071,28,5,5,10
272,Algeria,handcrafted_image,48,15,0.32811779644800926,0.6842105263157895,0.8666666666666667,0.7647058823529411,0.8982621381886088,0.9191919191919192,27,6,2,13
272,Algeria,cnn_only,48,15,0.3628605864804827,0.45454545454545453,1.0,0.625,0.6629555560762654,0.8363636363636364,15,18,0,15
272,Algeria,cv_multispectral,48,15,0.29415853216098825,0.5,0.8666666666666667,0.6341463414634146,0.7995851098792275,0.8767676767676768,20,13,2,13
272,Algeria,guarded_cv_tabular,48,15,0.6052371218816425,0.7692307692307693,0.6666666666666666,0.7142857142857143,0.8500753129512264,0.9050505050505051,30,3,5,10
272,Algeria,nested_champion,48,15,0.6052371218816425,0.7692307692307693,0.6666666666666666,0.7142857142857143,0.8500753129512264,0.9050505050505051,30,3,5,10
272,Angola,compact_tabular,50,6,0.4329732047222382,1.0,0.8333333333333334,0.9090909090909091,0.9583333333333333,0.9924242424242424,44,0,1,5
272,Angola,all77_tabular,50,6,0.3839802859609237,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8773809523809524,0.9810606060606061,42,2,2,4
272,Angola,handcrafted_image,50,6,0.40508923413861125,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.8445378151260503,0.9507575757575757,42,2,1,5
272,Angola,cnn_only,50,6,0.17561680682746053,0.35294117647058826,1.0,0.5217391304347826,0.8259259259259258,0.9659090909090908,33,11,0,6
272,Angola,cv_multispectral,50,6,0.16734083462893307,0.2857142857142857,1.0,0.4444444444444444,0.8773809523809524,0.9810606060606061,29,15,0,6
272,Angola,guarded_cv_tabular,50,6,0.5996438694768309,0.8571428571428571,1.0,0.9230769230769231,1.0,1.0,43,1,0,6
272,Angola,nested_champion,50,6,0.3839802859609237,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8773809523809524,0.9810606060606061,42,2,2,4
272,Indonesia,compact_tabular,48,17,0.5105571822744435,1.0,0.5294117647058824,0.6923076923076923,0.9522406480322625,0.9373814041745732,31,0,8,9
272,Indonesia,all77_tabular,48,17,0.26270459492367093,0.8,0.9411764705882353,0.8648648648648649,0.9330882352941177,0.9240986717267552,27,4,1,16
272,Indonesia,handcrafted_image,48,17,0.12884524082267373,0.37209302325581395,0.9411764705882353,0.5333333333333333,0.7728989261191963,0.8178368121442124,4,27,1,16
272,Indonesia,cnn_only,48,17,0.5635262580893734,0.5357142857142857,0.8823529411764706,0.6666666666666666,0.848326704597421,0.8652751423149906,18,13,2,15
272,Indonesia,cv_multispectral,48,17,0.657882517703734,0.6956521739130435,0.9411764705882353,0.8,0.8529985567425797,0.9013282732447817,24,7,1,16
272,Indonesia,guarded_cv_tabular,48,17,0.6533414101332545,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9481162464985995,0.9582542694497154,29,2,2,15
272,Indonesia,nested_champion,48,17,0.6533414101332545,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9481162464985995,0.9582542694497154,29,2,2,15
272,Iraq,compact_tabular,48,18,0.41321291003858523,0.9333333333333333,0.7777777777777778,0.8484848484848485,0.8768231944025893,0.8462962962962963,29,1,4,14
272,Iraq,all77_tabular,48,18,0.3581739964673836,0.875,0.7777777777777778,0.8235294117647058,0.8628823878823879,0.8370370370370371,28,2,4,14
272,Iraq,handcrafted_image,48,18,0.3616922209700071,1.0,0.3333333333333333,0.5,0.7012150358583101,0.7129629629629629,30,0,12,6
272,Iraq,cnn_only,48,18,0.414887582670379,0.6190476190476191,0.7222222222222222,0.6666666666666666,0.7369143137343004,0.7777777777777778,22,8,5,13
272,Iraq,cv_multispectral,48,18,0.7206670962744626,0.9,0.5,0.6428571428571429,0.781791395333062,0.8388888888888889,29,1,9,9
272,Iraq,guarded_cv_tabular,48,18,0.6136323010046248,1.0,0.7777777777777778,0.875,0.9031819315176561,0.8833333333333333,30,0,4,14
272,Iraq,nested_champion,48,18,0.41321291003858523,0.9333333333333333,0.7777777777777778,0.8484848484848485,0.8768231944025893,0.8462962962962963,29,1,4,14
272,Libya,compact_tabular,51,15,0.43872125434678394,0.6842105263157895,0.8666666666666667,0.7647058823529411,0.9091376589622203,0.925925925925926,30,6,2,13
272,Libya,all77_tabular,51,15,0.26073094001919533,0.5185185185185185,0.9333333333333333,0.6666666666666666,0.9189300242241418,0.9425925925925926,23,13,1,14
272,Libya,handcrafted_image,51,15,0.4848342195025487,0.5263157894736842,0.6666666666666666,0.5882352941176471,0.6681061859441632,0.8203703703703704,27,9,5,10
272,Libya,cnn_only,51,15,0.7472387527164887,0.5416666666666666,0.8666666666666667,0.6666666666666666,0.5769407444407444,0.7981481481481482,25,11,2,13
272,Libya,cv_multispectral,51,15,0.4281628149700965,0.42857142857142855,1.0,0.6,0.6987285745331722,0.8777777777777778,16,20,0,15
272,Libya,guarded_cv_tabular,51,15,0.6356276277355034,0.6666666666666666,0.9333333333333333,0.7777777777777778,0.9250752019401904,0.9592592592592593,29,7,1,14
