source_id,country,chip_id,is_eog_flare,status,chip_file,crs,clear_fraction,center_clear_fraction,worldcover_valid_fraction,scene_id,scene_datetime,requested_lon,requested_lat,reused_from,error
India_722682,India,93d19c9530d90a564e1c,1,ok,93d19c9530d90a564e1c.npz,EPSG:32646,0.9871,0.9976,1.0,S2A_T46RFR_20240522T042209_L2A,2024-05-22T04:30:50.273000Z,94.93014833333334,27.156597777777776,/kaggle/input/notebooks/aaryanadutta/nb13-200-sih/nb13_india_transfer,
India_104808,India,5bbc3b9250727fb5c536,0,ok,5bbc3b9250727fb5c536.npz,EPSG:32644,1.0,1.0,1.0,S2A_T44QMK_20230212T051514_L2A,2023-02-12T05:22:41.504000Z,80.04783333333334,22.443596666666664,/kaggle/input/notebooks/aaryanadutta/nb13-200-sih/nb13_india_transfer,
India_164658,India,bb68c8a973732908b8b1,0,ok,bb68c8a973732908b8b1.npz,EPSG:32644,0.9992,1.0,1.0,S2A_T44QNM_20230212T051514_L2A,2023-02-12T05:22:08.973000Z,81.97345,23.83215,/kaggle/input/notebooks/aaryanadutta/nb13-200-sih/nb13_india_transfer,
India_462352,India,4fc2b7d8b67632eb3148,1,ok,4fc2b7d8b67632eb3148.npz,EPSG:32646,1.0,1.0,1.0,S2A_T46RFQ_20231114T042757_L2A,2023-11-14T04:31:04.038000Z,94.5435,26.95547,/kaggle/input/notebooks/aaryanadutta/nb13-200-sih/nb13_india_transfer,
India_150746,India,26773e5375689b747807,0,ok,26773e5375689b747807.npz,EPSG:32644,1.0,1.0,1.0,S2A_T44QMH_20230113T052231_L2A,2023-01-13T05:23:09.747000Z,80.07727,20.04251,/kaggle/input/notebooks/aaryanadutta/nb13-200-sih/nb13_india_transfer,
India_791469,India,cc504bb4cdb59eb0c437,0,ok,cc504bb4cdb59eb0c437.npz,EPSG:32644,1.0,1.0,1.0,S2A_T44RNR_20230513T051520_L2A,2023-05-13T05:21:12.632000Z,81.74316,27.68656,/kaggle/input/notebooks/aaryanadutta/nb13-200-sih/nb13_india_transfer,
India_315825,India,122b78d218f0a11e4b7d,1,ok,122b78d218f0a11e4b7d.npz,EPSG:32643,0.9999,1.0,1.0,S2A_T43RBK_20231019T054733_L2A,2023-10-19T05:51:44.583000Z,72.90179,26.30277666666667,/kaggle/input/notebooks/aaryanadutta/nb13-200-sih/nb13_india_transfer,
India_789130,India,b49747dcb8e50c980332,0,ok,b49747dcb8e50c980332.npz,EPSG:32644,1.0,1.0,1.0,S2A_T44QMH_20230113T052231_L2A,2023-01-13T05:23:09.747000Z,80.05733000000001,19.82387,/kaggle/input/notebooks/aaryanadutta/nb13-200-sih/nb13_india_transfer,
India_255112,India,f6f4b6c28ad0e952a9e5,0,ok,f6f4b6c28ad0e952a9e5.npz,EPSG:32644,0.992,1.0,1.0,S2B_T44QMG_20230227T051601_L2A,2023-02-27T05:23:27.201000Z,80.45824,19.038935000000002,/kaggle/input/notebooks/aaryanadutta/nb13-200-sih/nb13_india_transfer,
India_985898,India,6f03c6f2686c9f71bb61,1,ok,6f03c6f2686c9f71bb61.npz,EPSG:32643,0.9997,1.0,1.0,S2A_T43QBG_20241112T054053_L2A,2024-11-12T05:52:27.070000Z,72.34988,23.4123,/kaggle/input/notebooks/aaryanadutta/nb13-200-sih/nb13_india_transfer,
India_52601,India,8a8478e89183bd7c8f6d,0,ok,8a8478e89183bd7c8f6d.npz,EPSG:32643,1.0,1.0,1.0,S2A_T43RFP_20231115T053059_L2A,2023-11-15T05:40:36.150000Z,76.300375,29.85689,/kaggle/input/notebooks/aaryanadutta/nb13-200-sih/nb13_india_transfer,
India_27017,India,920e6d784b4b14c5c1de,0,ok,920e6d784b4b14c5c1de.npz,EPSG:32643,0.9998,1.0,1.0,S2A_T43QGE_20240430T053056_L2A,2024-04-30T05:32:52.624000Z,77.2299475,22.400135,/kaggle/input/notebooks/aaryanadutta/nb13-200-sih/nb13_india_transfer,
India_319405,India,3d1a4039499adeb6509b,1,ok,3d1a4039499adeb6509b.npz,EPSG:32646,1.0,1.0,1.0,S2A_T46RGR_20230108T042807_L2A,2023-01-08T04:30:45.623000Z,95.40295433333334,27.603072666666666,/kaggle/input/notebooks/aaryanadutta/nb13-200-sih/nb13_india_transfer,
India_222673,India,ccfd252694da6a271e80,0,ok,ccfd252694da6a271e80.npz,EPSG:32644,0.9999,1.0,1.0,S2B_T43RHJ_20230312T052443_L2A,2023-03-12T05:31:52.711000Z,78.58780625,25.910965,/kaggle/input/notebooks/aaryanadutta/nb13-200-sih/nb13_india_transfer,
India_556460,India,e68f7b6ee8270a0c9e4c,0,ok,e68f7b6ee8270a0c9e4c.npz,EPSG:32643,0.9986,1.0,1.0,S2B_T43SDS_20241031T054903_L2A,2024-10-31T05:59:48.194000Z,74.169925,33.095555000000004,/kaggle/input/notebooks/aaryanadutta/nb13-200-sih/nb13_india_transfer,
India_303277,India,5b67d7f128a8830de910,1,ok,5b67d7f128a8830de910.npz,EPSG:32646,1.0,1.0,1.0,S2A_T46RGR_20230108T042807_L2A,2023-01-08T04:30:45.623000Z,95.1239845652174,27.266176521739133,/kaggle/input/notebooks/aaryanadutta/nb13-200-sih/nb13_india_transfer,
India_12509,India,125373e108c2c152b9d4,0,ok,125373e108c2c152b9d4.npz,EPSG:32644,1.0,1.0,1.0,S2A_T44QMF_20240217T051716_L2A,2024-02-17T05:23:38.797000Z,80.74992,18.264031666666668,/kaggle/input/notebooks/aaryanadutta/nb13-200-sih/nb13_india_transfer,
India_362319,India,de6d870e1f57cd38cbda,0,ok,de6d870e1f57cd38cbda.npz,EPSG:32645,0.98775,0.9968,1.0,S2A_T45RTL_20240315T050240_L2A,2024-03-15T05:11:07.280000Z,84.53957750000001,27.221410000000002,/kaggle/input/notebooks/aaryanadutta/nb13-200-sih/nb13_india_transfer,
India_494240,India,f2edd7aacddc7e592b9c,1,ok,f2edd7aacddc7e592b9c.npz,EPSG:32643,0.925425,0.8388,1.0,S2B_T42QZK_20241028T055122_L2A,2024-10-28T05:52:59.303000Z,72.70396,21.699,/kaggle/input/notebooks/aaryanadutta/nb13-200-sih/nb13_india_transfer,
India_525586,India,b193d4b21116ec2c197a,0,ok,b193d4b21116ec2c197a.npz,EPSG:32644,0.9999,1.0,1.0,S2B_T44QKH_20240205T053130_L2A,2024-02-05T05:33:12.806000Z,78.36369,20.32151,/kaggle/input/notebooks/aaryanadutta/nb13-200-sih/nb13_india_transfer,
India_610084,India,0450ebcff3cc35299580,0,ok,0450ebcff3cc35299580.npz,EPSG:32645,1.0,1.0,1.0,S2A_T44QRH_20230216T045412_L2A,2023-02-16T05:03:05.134000Z,84.82283666666666,20.18,/kaggle/input/notebooks/aaryanadutta/nb13-200-sih/nb13_india_transfer,
India_902739,India,a387476807d8279b9b62,1,ok,a387476807d8279b9b62.npz,EPSG:32643,0.987075,0.996,1.0,S2B_T42QZK_20241028T055122_L2A,2024-10-28T05:52:59.303000Z,72.76546333333333,22.12644333333333,/kaggle/input/notebooks/aaryanadutta/nb13-200-sih/nb13_india_transfer,
India_295479,India,9853b4463095aefcd6e7,0,ok,9853b4463095aefcd6e7.npz,EPSG:32644,0.9991,1.0,1.0,S2A_T44RLQ_20240301T052252_L2A,2024-03-01T05:31:30.029000Z,79.4394,26.3076,/kaggle/input/notebooks/aaryanadutta/nb13-200-sih/nb13_india_transfer,
India_499366,India,93ba08235aca9ad96991,0,ok,93ba08235aca9ad96991.npz,EPSG:32644,1.0,1.0,1.0,S2B_T44QNE_20240429T050507_L2A,2024-04-29T05:13:56.644000Z,81.767975,17.983575000000002,/kaggle/input/notebooks/aaryanadutta/nb13-200-sih/nb13_india_transfer,
India_812366,India,060a4d290f6a516da2c0,1,ok,060a4d290f6a516da2c0.npz,EPSG:32646,1.0,1.0,1.0,S2B_T46REP_20230103T042448_L2A,2023-01-03T04:31:21.365000Z,93.9519735,26.08558866666667,/kaggle/input/notebooks/aaryanadutta/nb13-200-sih/nb13_india_transfer,
India_665777,India,1b6d78f9f3805de89a16,0,ok,1b6d78f9f3805de89a16.npz,EPSG:32644,1.0,1.0,1.0,S2A_T44RMN_20240217T051716_L2A,2024-02-17T05:21:57.729000Z,80.63549,24.83995,/kaggle/input/notebooks/aaryanadutta/nb13-200-sih/nb13_india_transfer,
India_759878,India,4217b109af1bdd737452,0,ok,4217b109af1bdd737452.npz,EPSG:32644,1.0,1.0,1.0,S2A_T44QPM_20240125T050059_L2A,2024-01-25T05:12:05.927000Z,82.7471,23.651115,/kaggle/input/notebooks/aaryanadutta/nb13-200-sih/nb13_india_transfer,
India_39469,India,c040661995484f72bfb1,1,ok,c040661995484f72bfb1.npz,EPSG:32642,0.9974,1.0,1.0,S2B_T42QWK_20241031T055945_L2A,2024-10-31T06:03:03.041000Z,69.88103134615385,22.340651153846157,/kaggle/input/notebooks/aaryanadutta/nb13-200-sih/nb13_india_transfer,
India_199101,India,d6213951abb089fae8d7,0,ok,d6213951abb089fae8d7.npz,EPSG:32643,0.98345,0.9728,1.0,S2B_T43QCA_20230203T054349_L2A,2023-02-03T05:43:57.347000Z,73.70701333333334,18.364058333333332,/kaggle/input/notebooks/aaryanadutta/nb13-200-sih/nb13_india_transfer,
India_669850,India,082aa0ff90dd5292c31d,0,ok,082aa0ff90dd5292c31d.npz,EPSG:32644,1.0,1.0,1.0,S2A_T44QPM_20240125T050059_L2A,2024-01-25T05:12:05.927000Z,82.45909,24.08485,/kaggle/input/notebooks/aaryanadutta/nb13-200-sih/nb13_india_transfer,
India_60784,India,6ad9a17af5a16bf1d642,1,ok,6ad9a17af5a16bf1d642.npz,EPSG:32646,0.980025,0.9696,1.0,S2A_T46RFR_20240522T042209_L2A,2024-05-22T04:30:50.273000Z,94.89611000000001,27.36771564516129,/kaggle/input/notebooks/aaryanadutta/nb13-200-sih/nb13_india_transfer,
India_869609,India,89ae7929a2a136cc767c,0,ok,89ae7929a2a136cc767c.npz,EPSG:32644,0.9954,1.0,1.0,S2B_T44QKG_20230309T052025_L2A,2023-03-09T05:23:37.521000Z,79.05139,19.40262,/kaggle/input/notebooks/aaryanadutta/nb13-200-sih/nb13_india_transfer,
