source_id,country,status,full_clear_fraction,full_worldcover_fraction,full_negative_fraction,full_below_minus005_fraction,full_ndvi_valid_fraction,full_ndbi_valid_fraction,full_mndwi_valid_fraction,center_clear_fraction,center_worldcover_fraction,center_negative_fraction,center_below_minus005_fraction,center_ndvi_valid_fraction,center_ndbi_valid_fraction,center_mndwi_valid_fraction,review_reflectance_tail
India_722682,India,ok,0.9871,1.0,0.0,0.0,1.0,1.0,1.0,0.9976,1.0,0.0,0.0,1.0,1.0,1.0,False
India_104808,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_164658,India,ok,0.9992,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_462352,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_150746,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_791469,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_315825,India,ok,0.9999,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_789130,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_255112,India,ok,0.992,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_985898,India,ok,0.9997,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_52601,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_27017,India,ok,0.9998,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_319405,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_222673,India,ok,0.9999,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_556460,India,ok,0.9986,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_303277,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_12509,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_362319,India,ok,0.98775,1.0,0.0,0.0,1.0,1.0,1.0,0.9968,1.0,0.0,0.0,1.0,1.0,1.0,False
India_494240,India,ok,0.925425,1.0,0.0,0.0,1.0,1.0,1.0,0.8388,1.0,0.0,0.0,1.0,1.0,1.0,False
India_525586,India,ok,0.9999,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_610084,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_902739,India,ok,0.987075,1.0,0.0,0.0,1.0,1.0,1.0,0.996,1.0,0.0,0.0,1.0,1.0,1.0,False
India_295479,India,ok,0.9991,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_499366,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_812366,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_665777,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_759878,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_39469,India,ok,0.9974,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_199101,India,ok,0.98345,1.0,0.0,0.0,1.0,1.0,1.0,0.9728,1.0,0.0,0.0,1.0,1.0,1.0,False
India_669850,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_60784,India,ok,0.980025,1.0,0.0,0.0,1.0,1.0,1.0,0.9696,1.0,0.0,0.0,1.0,1.0,1.0,False
India_869609,India,ok,0.9954,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_215708,India,ok,0.9811,1.0,0.0,0.0,1.0,1.0,1.0,0.9904,1.0,0.0,0.0,1.0,1.0,1.0,False
India_957691,India,ok,0.99765,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_772989,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_786263,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_314155,India,ok,1.0,1.0,8.333333333333334e-06,0.0,0.999975,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_418808,India,ok,0.975,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_522517,India,ok,0.96215,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_452915,India,ok,0.9988,1.0,0.0,0.0,1.0,1.0,1.0,0.9992,1.0,0.0,0.0,1.0,1.0,1.0,False
India_752974,India,ok,0.9995,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_58175,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_465303,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_625957,India,ok,0.9998,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_830693,India,ok,0.872075,1.0,0.0004156752572886506,0.0,0.997505948456268,0.997505948456268,1.0,0.8224,1.0,0.0,0.0,1.0,1.0,1.0,False
India_549068,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_280220,India,ok,0.9999,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_163008,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_318477,India,ok,0.9974,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_632490,India,ok,0.9494,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_362144,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_699373,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_706746,India,ok,0.9708,1.0,0.0,0.0,1.0,1.0,1.0,0.9976,1.0,0.0,0.0,1.0,1.0,1.0,False
India_706371,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_221309,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_169469,India,ok,1.0,1.0,6.25e-05,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_678165,India,ok,0.9996,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_859466,India,ok,0.9997,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_45151,India,ok,0.9984,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_954923,India,ok,0.9999,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_785025,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_194148,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_191648,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_722652,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_60586,India,ok,0.99,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_122017,India,ok,0.9811,1.0,0.006400129106784901,0.0,0.9999235551931506,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_387242,India,ok,0.9954,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_65931,India,ok,0.9038,1.0,0.0,0.0,1.0,1.0,1.0,0.8304,1.0,0.0,0.0,1.0,1.0,1.0,False
India_240760,India,ok,0.9895,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_446842,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_175979,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_143053,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_742303,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_827555,India,ok,0.9999,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_417615,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_723152,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_984143,India,ok,0.9998,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_249255,India,ok,0.9997,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_303546,India,ok,0.9715,1.0,0.0,0.0,1.0,1.0,1.0,0.9472,1.0,0.0,0.0,1.0,1.0,1.0,False
India_983837,India,ok,0.9998,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_974824,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_741767,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_982216,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_242133,India,ok,0.99255,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_294594,India,ok,0.9993,1.0,0.0,0.0,1.0,1.0,1.0,0.9968,1.0,0.0,0.0,1.0,1.0,1.0,False
India_130685,India,ok,0.997625,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_494960,India,ok,0.9824,1.0,0.0,0.0,1.0,1.0,1.0,0.9904,1.0,0.0,0.0,1.0,1.0,1.0,False
India_930248,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_949675,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_440180,India,ok,0.9993,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_183492,India,ok,0.9999,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_549099,India,ok,0.943575,1.0,0.025938584638211058,0.0,0.9903293325914739,1.0,0.990514797445884,1.0,1.0,0.012866666666666667,0.0,1.0,1.0,1.0,False
India_961743,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_64730,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_452750,India,ok,0.986525,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_318060,India,ok,0.9941,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_991449,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_898476,India,ok,0.9939,1.0,0.0,0.0,1.0,1.0,1.0,0.9944,1.0,0.0,0.0,1.0,1.0,1.0,False
India_69724,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_334951,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_974439,India,ok,0.9815,1.0,0.0,0.0,1.0,1.0,1.0,0.96,1.0,0.0,0.0,1.0,1.0,1.0,False
India_921927,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_217749,India,ok,0.9999,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_716104,India,ok,0.9991,1.0,0.0,0.0,1.0,1.0,1.0,0.9904,1.0,0.0,0.0,1.0,1.0,1.0,False
India_187940,India,ok,0.9933,1.0,4.194771636632102e-06,0.0,1.0,1.0,1.0,0.9992,1.0,0.0,0.0,1.0,1.0,1.0,False
India_924741,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_280183,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_150953,India,ok,0.999,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_303954,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_159084,India,ok,0.998375,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_131235,India,ok,0.9919,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_840478,India,ok,0.9992,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_685335,India,ok,0.9991,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_214277,India,ok,0.943325,1.0,0.0,0.0,1.0,1.0,1.0,0.992,1.0,0.0,0.0,1.0,1.0,1.0,False
India_336978,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_818813,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_559979,India,ok,0.9969,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_330067,India,ok,0.9919,1.0,0.0,0.0,1.0,1.0,1.0,0.9696,1.0,0.0,0.0,1.0,1.0,1.0,False
India_167566,India,ok,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
India_180727,India,ok,0.915,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,False
