experiment,n,n_pos,thr,precision,recall,f1,pr_auc,roc_auc,mcc,brier,tn,fp,fn,tp,train_s,infer_s
rule n_days>=5 & month_entropy>=0.0,1687353,3766,0.5,0.007270557750630982,0.6601168348380244,0.014382703728452703,0.005558002169519458,0.7292495492108353,0.05382695590717704,0.20192633076777652,1344146,339441,1280,2486,,
rule n_days>=5 & month_entropy>=0.5,1687353,3766,0.5,0.03821622196236845,0.5727562400424854,0.07165160775976614,0.02284214414734394,0.7702562920432411,0.1418559057406808,0.03312525594822186,1629302,54285,1609,2157,,
rule n_days>=5 & month_entropy>=0.7,1687353,3766,0.5,0.4940898345153664,0.4439723844928306,0.4676923076923077,0.22060323897697118,0.721477754013048,0.467235489393149,0.002255603895568977,1681875,1712,2094,1672,,
rule n_days>=10 & month_entropy>=0.0,1687353,3766,0.5,0.08933233042785717,0.5361125862984599,0.15314597792695414,0.04892753615544733,0.7619437489207463,0.2150588770840845,0.01323315275463996,1663005,20582,1747,2019,,
rule n_days>=10 & month_entropy>=0.5,1687353,3766,0.5,0.24062939746705897,0.4994689325544344,0.3247863247863248,0.12130404264594036,0.7479715636175982,0.3446474751919648,0.004635070432802146,1677651,5936,1885,1881,,
rule n_days>=10 & month_entropy>=0.7,1687353,3766,0.5,0.5611263736263736,0.43388210302708446,0.48936807427373463,0.24472620852679097,0.7165615047482132,0.4924312531527565,0.0020209167850473494,1682309,1278,2132,1634,,
rule n_days>=30 & month_entropy>=0.0,1687353,3766,0.5,0.6550441655044166,0.3741370154009559,0.4762548588811898,0.2464731314606107,0.6868481448680255,0.4942316315972076,0.0018366044330972832,1682845,742,2357,1409,,
rule n_days>=30 & month_entropy>=0.5,1687353,3766,0.5,0.6586402266288952,0.37041954328199683,0.4741672331747111,0.24537837137706356,0.6849950515225846,0.4931225170586434,0.0018336412120048384,1682864,723,2371,1395,,
rule n_days>=30 & month_entropy>=0.7,1687353,3766,0.5,0.6650148662041625,0.35634625597450875,0.4640387275242047,0.23841212732485942,0.6779723661614622,0.4860006037995508,0.001837197077315772,1682911,676,2424,1342,,
rule n_days>=60 & month_entropy>=0.0,1687353,3766,0.5,0.7063339731285988,0.29314922995220394,0.41433664852692814,0.20863887922134705,0.6464382988843289,0.45431950749069105,0.0018496426059040401,1683128,459,2662,1104,,
rule n_days>=60 & month_entropy>=0.5,1687353,3766,0.5,0.7059577194106342,0.29261816250663836,0.4137413178149052,0.20815485485937135,0.6461727651615461,0.4537858527179155,0.0018508278943410181,1683128,459,2664,1102,,
rule n_days>=60 & month_entropy>=0.7,1687353,3766,0.5,0.7075718015665796,0.2878385554965481,0.4092110230275576,0.2052559170670018,0.6437862284909444,0.45057813726005935,0.001854976403870441,1683139,448,2682,1084,,
score:n_days,1687353,3766,0.0349,0.6958062610750148,0.31279872543813064,0.4315808756182451,0.36707049606396114,0.7674901998539037,0.46578395948786716,0.0019245872761535152,1683072,515,2588,1178,,
score:duty_cycle,1687353,3766,0.0081,0.0133006543897633,0.5807222517259693,0.026005683912624707,0.008402517190507308,0.748274423443458,0.07707179285943945,0.02158255375856132,1521346,162241,1579,2187,,
score:n_months,1687353,3766,0.4043,0.6784660766961652,0.3053637812002124,0.4211682841970335,0.3248557057844181,0.7435904626207296,0.4544072416601178,0.0035861846027331686,1683042,545,2616,1150,,
score:frp_sum,1687353,3766,0.0028,0.3524881516587678,0.1579925650557621,0.2181884855152182,0.13320391931987205,0.5745487975088704,0.2348737558975183,0.0022142370391544527,1682494,1093,3171,595,,
IsolationForest(all feats),1687353,3766,0.6637,0.12005021111491498,0.2793414763674987,0.16793040146859287,0.05991683536438467,0.8920300106739104,0.18039101337568,0.04044721165885973,1675876,7711,2714,1052,3.03,30.473
