feature,gain
month_entropy,301754.3799800873
night_frac,68365.67666745186
pix_km2_mean,34269.87474745512
n_months,26872.135959863663
spread_m,19269.25472587347
lst_std,16847.013339340687
lst_mean,15317.802036941051
month_max_share,10879.859199404716
t_lwir_max,8356.24229902029
t_lwir_med,7639.431169390678
duty_cycle,7528.105574607849
t_lwir_mean,7274.074436903
span_days,7142.806039094925
frp_dens_med,7106.241926372051
dt_mir_lwir_max,6042.526043891907
dt_mir_lwir_mean,5663.265761256218
conf_modis_mean,5474.772598326206
t_mir_med,5387.912447810173
max_gap_days,5253.826422095299
dt_mir_lwir_med,5202.612676382065
frp_cv,5093.05819696188
frp_dens_max,5072.331307590008
frp_dens_mean,4863.0320491194725
t_mir_max,4844.686122298241
frp_med,4762.761120259762
frp_sum,4713.866373538971
t_mir_mean,4576.145422875881
n_days,4364.879987359047
t_lwir_std,4340.415395736694
frp_mean,4073.9104779958725
dt_mir_lwir_std,3929.058037877083
n_snpp,3866.08655333519
t_mir_std,3825.0108441114426
frp_p90,3727.8256786465645
frp_max,3374.0932617783546
mean_gap_days,3254.810991168022
det_per_day,3142.707845926285
frp_dens_std,2989.143566906452
frp_std,2580.8341578245163
snpp_modis_ratio,1843.5658182501793
conf_viirs_n_frac,1481.501455962658
conf_viirs_l_frac,1375.02830016613
n_det,1333.7612257003784
n_modis,1280.2198776006699
conf_viirs_h_frac,799.5696023702621
n_years,752.4190242290497
n_pixels,323.98102778196335
sat_frac,306.5861910581589
n_sensors,15.935879945755005
