experiment,n,n_pos,thr,precision,recall,f1,pr_auc,roc_auc,mcc,brier,tn,fp,fn,tp,train_s,infer_s,n_features
LGBM full,1687353,3766,0.747,0.8453791469194313,0.3789166224110462,0.5232856618995233,0.5753154781140113,0.974013821817076,0.5653950760382923,0.001283624797489638,1683326,261,2339,1427,519.75,44.818,49
temporal,1687353,3766,0.5422,0.7186018957345972,0.3220924057355284,0.4448111477814448,0.4187491589301837,0.9062197818504011,0.4803811787905452,0.001566127497025134,1683112,475,2553,1213,225.04,43.691,9
temporal+intensity,1687353,3766,0.6951,0.8287914691943128,0.371481678173128,0.513017968463513,0.5354812567318575,0.9645890415119447,0.5542717623797087,0.0013475715744554325,1683298,289,2367,1399,370.2,41.632,34
temporal+intensity+seasonality,1687353,3766,0.7019,0.8317535545023697,0.372809346787042,0.5148514851485149,0.5450465962102301,0.9653236130442239,0.55625806839017,0.0013444660479615136,1683303,284,2362,1404,387.29,42.0,36
temporal+intensity+seasonality+timing,1687353,3766,0.7351,0.8465639810426541,0.3794476898566118,0.524019068573524,0.5653801588236198,0.9732296467008906,0.566189598442477,0.001296687055608642,1683328,259,2337,1429,429.11,41.822,39
temporal+intensity+seasonality+timing+cross_inst,1687353,3766,0.7396,0.8412322274881516,0.3770578863515667,0.5207187385405208,0.5567822813235423,0.9727638118496271,0.5626142476236464,0.0013093541562564977,1683319,268,2346,1420,444.18,42.34,43
temporal+intensity+seasonality+timing+cross_inst+confidence,1687353,3766,0.7492,0.8436018957345972,0.37812002124269783,0.5221855518885222,0.5646679932180284,0.9736198757766938,0.5642032924320155,0.001304524469894325,1683323,264,2342,1424,474.49,42.405,47
temporal+intensity+seasonality+timing+cross_inst+confidence+spatial,1687353,3766,0.7627,0.8370853080568721,0.3751991502920871,0.5181518151815182,0.5720290222877221,0.9736184580402572,0.5598334192090005,0.0012946445539462619,1683312,275,2353,1413,478.24,42.453,49
full minus temporal,1687353,3766,0.7104,0.830568720379147,0.3722782793414764,0.5141180784745141,0.5679176196050505,0.972421623677497,0.5554635459859855,0.0013072989601703507,1683301,286,2364,1402,423.2,42.25,40
full minus intensity,1687353,3766,0.7065,0.8027251184834123,0.35979819437068505,0.49688302163549686,0.5425202677586154,0.9667039545333915,0.5367922694876485,0.001363263435341583,1683254,333,2411,1355,293.36,47.182,24
full minus seasonality,1687353,3766,0.7592,0.856042654028436,0.38369622942113646,0.5298863219655299,0.5770167471723378,0.9742468513809441,0.5725457776759534,0.0012877242772177664,1683344,243,2321,1445,469.31,42.212,47
full minus timing,1687353,3766,0.742,0.8465639810426541,0.3794476898566118,0.524019068573524,0.565291242184965,0.9679412197773601,0.566189598442477,0.0013065879257038238,1683328,259,2337,1429,471.58,42.548,46
full minus cross_inst,1687353,3766,0.7446,0.841824644549763,0.37732342007434944,0.521085441877521,0.5795379450783288,0.9735685390182742,0.5630115088257387,0.0012834525457431872,1683320,267,2345,1421,458.64,42.354,45
full minus confidence,1687353,3766,0.7396,0.8430094786729858,0.377854487519915,0.5218188485515218,0.5795820861311329,0.9731191350209979,0.5638060312299232,0.0012836099076563923,1683322,265,2343,1423,455.71,41.295,45
full minus spatial,1687353,3766,0.7497,0.8424170616113744,0.37758895379713225,0.5214521452145214,0.5646727651084817,0.9736199858645826,0.563408770027831,0.0013049277330261688,1683321,266,2344,1422,466.3,42.031,47
