feature,gain
active_days_per_year,324212.4315789938
night_frac,50234.03817516565
pix_km2_mean,30307.509577810764
lst_mean,28122.03300654888
spread_m,23546.815216362476
duty_cycle,11909.240179777145
span_window_frac,9713.492459058762
lst_std,9501.28403031826
t_lwir_max,7996.221393585205
t_lwir_med,7216.073085665703
frp_dens_med,6307.970583796501
t_lwir_mean,6126.012079894543
dt_mir_lwir_max,5696.612564206123
max_gap_days,5265.364551901817
dt_mir_lwir_mean,5166.188932597637
frp_dens_mean,5065.975938379765
dt_mir_lwir_med,4806.200755596161
t_lwir_std,4679.414115071297
t_mir_max,4609.896240949631
t_mir_med,4545.3367248773575
conf_modis_mean,4414.57319945097
frp_cv,4347.41106069088
det_per_day,4288.82821637392
frp_dens_max,4285.924212813377
frp_sum_per_year,4282.684167146683
frp_med,4051.67346817255
t_mir_std,3891.4398086071014
det_per_year,3701.271902322769
t_mir_mean,3664.8149099349976
mean_gap_days,3517.7284266352654
frp_max,3462.444829940796
frp_mean,3280.722401857376
dt_mir_lwir_std,3175.058924794197
frp_p90,3021.546936750412
active_months_per_year,3013.196248292923
frp_std,2885.949937939644
frp_dens_std,2846.922875523567
snpp_modis_ratio,2159.825893163681
snpp_per_year,2053.6031559705734
conf_viirs_n_frac,1361.850984096527
conf_viirs_l_frac,1172.209998846054
sat_frac,845.8442571163177
modis_per_year,832.2140848636627
conf_viirs_h_frac,548.1782928705215
n_sensors,2.4655299186706543
