experiment,n,n_pos,thr,precision,recall,f1,pr_auc,roc_auc,mcc,brier,tn,fp,fn,tp,train_s,infer_s,country,prevalence,predicted_positive,prediction_rate,pr_auc_lift
unweighted,10163,1039,0.2347,0.7362110311750599,0.5909528392685275,0.6556326748531767,0.6965986998920207,0.9057526944558956,0.6256922781514467,0.052318119687919384,8904,220,425,614,,,Algeria,0.10223359244317623,834,0.08206238315458034,6.8137945976925955
unweighted,970253,32,0.2347,0.3448275862068966,0.3125,0.32786885245901637,0.21662730151348178,0.9490109083394401,0.32824500350339036,3.1021119774933e-05,970202,19,22,10,,,Angola,3.2981088437757986e-05,29,2.9889111396718176e-05,6568.227786730007
unweighted,183558,376,0.2347,0.2633663366336634,0.3537234042553192,0.30192962542565266,0.18438310115161147,0.9115978888105006,0.30357393655029613,0.0020284665239088976,182810,372,243,133,,,Indonesia,0.0020483988712014733,505,0.002751174015842404,90.01328000315823
unweighted,30598,741,0.2347,0.6552147239263804,0.7206477732793523,0.6863753213367609,0.696756736680178,0.9347252944840039,0.6790207459134303,0.01104695028611281,29576,281,207,534,,,Iraq,0.024217269102555724,815,0.026635727825348062,28.771069674682977
unweighted,2696,546,0.2347,0.7986270022883295,0.6391941391941391,0.7100712105798576,0.7801053640980451,0.9047695715137576,0.6523933416063566,0.0893193384816968,2062,88,197,349,,,Libya,0.20252225519287834,437,0.1620919881305638,3.8519488307844862
unweighted,436887,772,0.2347,0.7371134020618557,0.3704663212435233,0.49310344827586206,0.4218640160392061,0.9212998496676882,0.5220067752510649,0.0012383901101329147,436013,102,486,286,,,Nigeria,0.0017670473142940852,388,0.0008881014999301879,238.7395134395345
site_balanced,10163,1039,0.2509,0.7293972939729397,0.5707410972088547,0.6403887688984882,0.6937855595025586,0.903199380242443,0.6104384704961783,0.05326928564670394,8904,220,446,593,,,Algeria,0.10223359244317623,813,0.07999606415428515,6.786277806760831
site_balanced,970253,32,0.2509,0.42857142857142855,0.28125,0.33962264150943394,0.20547444854172467,0.9451595628727889,0.3471653016247751,3.0906928902527785e-05,970209,12,23,9,,,Angola,3.2981088437757986e-05,21,2.164383928727868e-05,6230.068753779812
site_balanced,183558,376,0.2509,0.2817551963048499,0.324468085106383,0.3016069221260816,0.1765728266904126,0.9177102698931908,0.300823075139698,0.0020029032780819623,182871,311,254,122,,,Indonesia,0.0020483988712014733,433,0.002358927423484675,86.20041202563499
site_balanced,30598,741,0.2509,0.6552147239263804,0.7206477732793523,0.6863753213367609,0.6771544057152976,0.9342103342170328,0.6790207459134303,0.011328017392002626,29576,281,207,534,,,Iraq,0.024217269102555724,815,0.026635727825348062,27.961633611439506
