feature,gain
active_days_per_year,321531.39448440075
spread_m,62157.7755330801
night_frac,54009.69751858711
pix_km2_mean,25557.230923354626
lst_mean,15411.728480219841
t_lwir_max,7547.135517120361
duty_cycle,7479.363775610924
t_lwir_med,7439.390866339207
span_window_frac,7271.183589816093
t_lwir_std,7062.516939043999
frp_dens_med,6453.3639813661575
dt_mir_lwir_max,6127.935854673386
t_lwir_mean,6075.543683230877
t_mir_med,5745.349464774132
max_gap_days,5657.401905655861
lst_std,5609.129525840282
dt_mir_lwir_mean,5129.277991294861
frp_dens_mean,5023.794765889645
t_mir_max,4802.520512104034
frp_sum_per_year,4755.254595279694
conf_modis_mean,4690.208045125008
det_per_day,4673.793057084084
dt_mir_lwir_med,4612.339185655117
frp_cv,4606.17140096426
frp_dens_max,4056.9830251932144
frp_med,4013.744743168354
active_months_per_year,3766.099694252014
frp_max,3624.2351644039154
dt_mir_lwir_std,3621.232259750366
mean_gap_days,3603.02101790905
t_mir_mean,3522.3632352352142
frp_mean,3424.92026668787
t_mir_std,3413.8936581611633
frp_p90,2864.3536232709885
frp_std,2696.0535510778427
det_per_year,2622.064573407173
frp_dens_std,2605.4464073181152
snpp_modis_ratio,2177.714212536812
conf_viirs_n_frac,1404.5878213047981
snpp_per_year,1402.358063340187
conf_viirs_l_frac,1302.7425273060799
modis_per_year,495.7754377126694
conf_viirs_h_frac,464.47978192567825
sat_frac,292.0704667568207
n_sensors,8.28272008895874
