experiment,country,eog_sites_total,eog_sites_recoverable,eog_sites_detected,recall_of_recoverable,recall_of_all_active
unweighted,Algeria,414,361,252,0.6980609418282548,0.6086956521739131
unweighted,Angola,67,10,6,0.6,0.08955223880597014
unweighted,Indonesia,336,184,91,0.4945652173913043,0.2708333333333333
unweighted,Iraq,262,220,164,0.7454545454545455,0.6259541984732825
unweighted,Libya,200,169,137,0.8106508875739645,0.685
unweighted,Nigeria,412,288,130,0.4513888888888889,0.3155339805825243
site_balanced,Algeria,414,361,239,0.6620498614958449,0.5772946859903382
site_balanced,Angola,67,10,5,0.5,0.07462686567164178
site_balanced,Indonesia,336,184,87,0.47282608695652173,0.25892857142857145
site_balanced,Iraq,262,220,166,0.7545454545454545,0.6335877862595419
site_balanced,Libya,200,169,135,0.7988165680473372,0.675
site_balanced,Nigeria,412,288,125,0.4340277777777778,0.30339805825242716
sqrt_country_site,Algeria,414,361,249,0.6897506925207756,0.6014492753623188
sqrt_country_site,Angola,67,10,4,0.4,0.05970149253731343
sqrt_country_site,Indonesia,336,184,80,0.43478260869565216,0.23809523809523808
sqrt_country_site,Iraq,262,220,165,0.75,0.6297709923664122
sqrt_country_site,Libya,200,169,136,0.8047337278106509,0.68
sqrt_country_site,Nigeria,412,288,114,0.3958333333333333,0.2766990291262136
equal_country_site,Algeria,414,361,253,0.7008310249307479,0.6111111111111112
equal_country_site,Angola,67,10,4,0.4,0.05970149253731343
equal_country_site,Indonesia,336,184,89,0.483695652173913,0.2648809523809524
equal_country_site,Iraq,262,220,163,0.740909090909091,0.6221374045801527
equal_country_site,Libya,200,169,135,0.7988165680473372,0.675
equal_country_site,Nigeria,412,288,108,0.375,0.2621359223300971
