experiment,country,eog_sites_total,eog_sites_recoverable,eog_sites_detected,recall_of_recoverable,recall_of_all_active
unweighted,Algeria,414,361,244,0.6759002770083102,0.5893719806763285
unweighted,Angola,67,10,5,0.5,0.07462686567164178
unweighted,Indonesia,336,184,79,0.42934782608695654,0.23511904761904762
unweighted,Iraq,262,220,166,0.7545454545454545,0.6335877862595419
unweighted,Libya,200,169,133,0.7869822485207101,0.665
unweighted,Nigeria,412,288,129,0.4479166666666667,0.3131067961165049
site_balanced,Algeria,414,361,250,0.6925207756232687,0.6038647342995169
site_balanced,Angola,67,10,5,0.5,0.07462686567164178
site_balanced,Indonesia,336,184,77,0.41847826086956524,0.22916666666666666
site_balanced,Iraq,262,220,166,0.7545454545454545,0.6335877862595419
site_balanced,Libya,200,169,135,0.7988165680473372,0.675
site_balanced,Nigeria,412,288,121,0.4201388888888889,0.2936893203883495
sqrt_country_site,Algeria,414,361,247,0.6842105263157895,0.5966183574879227
sqrt_country_site,Angola,67,10,4,0.4,0.05970149253731343
sqrt_country_site,Indonesia,336,184,77,0.41847826086956524,0.22916666666666666
sqrt_country_site,Iraq,262,220,162,0.7363636363636363,0.6183206106870229
sqrt_country_site,Libya,200,169,132,0.7810650887573964,0.66
sqrt_country_site,Nigeria,412,288,111,0.3854166666666667,0.26941747572815533
equal_country_site,Algeria,414,361,241,0.667590027700831,0.5821256038647343
equal_country_site,Angola,67,10,4,0.4,0.05970149253731343
equal_country_site,Indonesia,336,184,73,0.3967391304347826,0.21726190476190477
equal_country_site,Iraq,262,220,161,0.7318181818181818,0.6145038167938931
equal_country_site,Libya,200,169,132,0.7810650887573964,0.66
equal_country_site,Nigeria,412,288,91,0.3159722222222222,0.220873786407767
