feature,gain
active_days_per_year,281088.5744205117
spread_m,47714.41692203283
det_per_year,28977.74955356121
lst_mean,23464.26465278864
night_frac,22856.728269815445
pix_km2_mean,13933.519787073135
duty_cycle,13579.567895174026
dt_mir_lwir_std,12009.880254745483
lst_std,11315.898091256618
t_lwir_med,8675.08357900381
frp_dens_med,7100.576421141624
t_lwir_max,6720.831296503544
det_per_day,6287.194066405296
max_gap_days,5963.951945304871
dt_mir_lwir_max,5685.286468625069
span_window_frac,5552.203530907631
frp_dens_mean,5489.932650566101
t_lwir_mean,5472.3441425561905
dt_mir_lwir_mean,5395.339555025101
frp_dens_max,5162.116612434387
frp_sum_per_year,5094.172175049782
t_mir_med,5047.5194754600525
dt_mir_lwir_med,4979.941278517246
t_lwir_std,4974.4038335084915
conf_modis_mean,4931.854129910469
frp_cv,4820.425308465958
t_mir_max,4773.622194170952
frp_med,4460.161235511303
mean_gap_days,4384.8307938575745
t_mir_mean,3705.7890173196793
active_months_per_year,3700.272555589676
t_mir_std,3684.486045241356
frp_max,3467.2536495923996
frp_p90,2953.1793868541718
frp_dens_std,2923.732220828533
frp_mean,2831.272972226143
frp_std,2325.201762199402
snpp_per_year,2172.859133720398
snpp_modis_ratio,2103.948048353195
conf_viirs_n_frac,1193.1702600121498
conf_viirs_l_frac,1106.2846014499664
modis_per_year,907.6050583124161
conf_viirs_h_frac,416.0128284692764
sat_frac,235.65764009952545
n_sensors,23.90373992919922
