experiment,n,n_pos,thr,precision,recall,f1,pr_auc,roc_auc,mcc,brier,tn,fp,fn,tp,train_s,infer_s,country_alpha,fragment_balance,n_features,threshold_exact,threshold_policy,macro_country_f1,worst_country_f1,macro_country_pr_auc,pooled_best_threshold,pooled_best_f1,macro_site_recall_all,held_out_country,selected,inner_seed
unweighted,1623992,2467,0.2507,0.6350785340314136,0.49169031211998376,0.5542609092986064,0.49797250459965103,0.9626158087669963,0.5582196656461381,0.000977442663924734,1620828,697,1254,1213,185.78,31.318,0.0,False,45,0.25068756539733006,maximize macro country F1 on grouped OOF,0.49441909574753096,0.2846251588310038,0.4405111211908223,0.25068756539733006,0.5542609092986063,0.37527399128906824,Algeria,True,10031
site_balanced,1623992,2467,0.2935,0.6538031319910514,0.47385488447507096,0.5494712103407755,0.49473779620721847,0.9627275920724664,0.5560390071973121,0.0009767068052124839,1620906,619,1298,1169,191.12,32.467,0.0,True,45,0.29349016568991115,maximize macro country F1 on grouped OOF,0.49168033221568774,0.2833333333333333,0.4417958667576622,0.2866492276194436,0.5501754385964912,0.36046535506499433,Algeria,False,10031
sqrt_country_site,1623992,2467,0.1628,0.5699551569506727,0.5152006485610052,0.5411965084096232,0.5021434825123339,0.9623158686755956,0.5412251618676577,0.0009946873612128129,1620566,959,1196,1271,181.41,31.545,0.5,True,45,0.16277082336543222,maximize macro country F1 on grouped OOF,0.46812393428288884,0.21739130434782608,0.42646526319988737,0.17119269565515843,0.5413178793732562,0.39063367991331527,Algeria,False,10031
equal_country_site,1623992,2467,0.1858,0.5771689497716895,0.512363194162951,0.5428387373845823,0.49608008541771825,0.9554787699256744,0.5431490528086497,0.0009950991891545875,1620599,926,1203,1264,181.84,31.997,1.0,True,45,0.18582305959605666,maximize macro country F1 on grouped OOF,0.4555914270086667,0.16,0.4129922048299072,0.20861477915911802,0.5428634071475552,0.3784108052605234,Algeria,False,10031
unweighted,663902,3474,0.2273,0.6403389830508475,0.5437535981577433,0.588107098381071,0.5730631778740812,0.9515138649781721,0.5880967613136519,0.0030694677578072304,659367,1061,1585,1889,76.52,12.94,0.0,False,45,0.22734758861872006,maximize macro country F1 on grouped OOF,0.5611803832060291,0.2823529411764706,0.5528415734745425,0.33713160281324067,0.5904476618405725,0.4923526987922117,Angola,True,11031
site_balanced,663902,3474,0.189,0.6104998428167243,0.5590097869890616,0.5836213373403456,0.5665140856900059,0.9514091822047926,0.5820981367050279,0.0030901378106064654,659189,1239,1532,1942,75.9,13.211,0.0,True,45,0.18895668335197152,maximize macro country F1 on grouped OOF,0.5591810471951454,0.2888402625820569,0.5477996516574022,0.318390232122914,0.5905485789821546,0.5060698892409361,Angola,False,11031
sqrt_country_site,663902,3474,0.2161,0.6216914138153647,0.5544041450777202,0.5861229458307973,0.5698895502147463,0.9487738807253965,0.5850388436424485,0.0030966274113584493,659256,1172,1548,1926,74.77,13.568,0.5,True,45,0.21612149180024426,maximize macro country F1 on grouped OOF,0.5589016496714476,0.2991944764096663,0.5482261354544067,0.25400097291794943,0.588216810683425,0.5007155838594732,Angola,False,11031
equal_country_site,663902,3474,0.2126,0.5999361430395913,0.5408750719631549,0.568876778686043,0.5531045400137176,0.9398500908112973,0.5674956044850099,0.003195993734971482,659175,1253,1595,1879,75.93,13.772,1.0,True,45,0.21264553840686617,maximize macro country F1 on grouped OOF,0.5427951174880588,0.27232142857142855,0.5291833408321538,0.24270942651537414,0.5701399688958009,0.48425484747682734,Angola,False,11031
site_balanced,1450597,3130,0.3504,0.7482578397212544,0.5488817891373802,0.6332473276815334,0.5914978030533705,0.9749287824427791,0.6402121318565043,0.0011812002424680045,1446889,578,1412,1718,170.54,29.373,0.0,True,45,0.3503528254759094,maximize macro country F1 on grouped OOF,0.5757573282201397,0.3448275862068966,0.5298093155354467,0.3503528254759094,0.6332473276815334,0.4548336840357913,Indonesia,True,12031
unweighted,1450597,3130,0.3473,0.7537182852143482,0.550479233226837,0.6362629246676514,0.6029147914148523,0.9754318425742344,0.6434894725109999,0.001170124807230162,1446904,563,1407,1723,165.02,29.019,0.0,False,45,0.3472514947371219,maximize macro country F1 on grouped OOF,0.5704827049259482,0.3050847457627119,0.5382197702765629,0.26705318035246006,0.6411859260582247,0.45256556839034057,Indonesia,False,12031
